task start end duration
mProjectPP 1472725759050 1472725762449 3399
mProjectPP 1472725763558 1472725766555 2997
mProjectPP 1472725768462 1472725771740 3278
mDiffFit 1472725772078 1472725776133 4055
mProjectPP 1472725779283 1472725782628 3345
mProjectPP 1472725779175 1472725782722 3547
mProjectPP 1472725779275 1472725782874 3599
mProjectPP 1472725779130 1472725782917 3787
mProjectPP 1472725779609 1472725783157 3548
mProjectPP 1472725780160 1472725783272 3112
mProjectPP 1472725780852 1472725783747 2895
mDiffFit 1472725783024 1472725786176 3152
mDiffFit 1472725783256 1472725786651 3395
mDiffFit 1472725783251 1472725786658 3407
mDiffFit 1472725783356 1472725786866 3510
mDiffFit 1472725783530 1472725787009 3479
mDiffFit 1472725784085 1472725787032 2947
mDiffFit 1472725783389 1472725787029 3640
mDiffFit 1472725783484 1472725787129 3645
mDiffFit 1472725788224 1472725791267 3043
mDiffFit 1472725788079 1472725791764 3685
mDiffFit 1472725788664 1472725792166 3502
mDiffFit 1472725801545 1472725805531 3986
mDiffFit 1472725803809 1472725807387 3578
mDiffFit 1472725804318 1472725808271 3953
mDiffFit 1472725804832 1472725808878 4046
mDiffFit 1472725805946 1472725811011 5065
mConcatFit 1472725811410 1472725813140 1730
mBgModel 1472725813498 1472725816561 3063
mBackground 1472725816922 1472725819623 2701
mBackground 1472725817024 1472725819883 2859
mBackground 1472725816931 1472725819915 2984
mBackground 1472725817043 1472725819920 2877
mBackground 1472725816931 1472725820135 3204
mBackground 1472725817027 1472725820163 3136
mBackground 1472725817017 1472725820207 3190
mBackground 1472725817026 1472725820223 3197
mBackground 1472725817231 1472725820329 3098
mBackground 1472725817045 1472725820727 3682
mImgtbl 1472725821143 1472725826037 4894
mAdd 1472725826413 1472725859454 33041
mShrink 1472725859801 1472725865882 6081
mJPEG 1472725866257 1472725869058 2801
mProjectPP 1472743113422 1472743116551 3129
mProjectPP 1472743113411 1472743116633 3222
mProjectPP 1472743113418 1472743116689 3271
mProjectPP 1472743113614 1472743116751 3137
mProjectPP 1472743113424 1472743116802 3378
mProjectPP 1472743113534 1472743116816 3282
mProjectPP 1472743113436 1472743117064 3628
mProjectPP 1472743114414 1472743117514 3100
mProjectPP 1472743114407 1472743117577 3170
mProjectPP 1472743114662 1472743118163 3501
mDiffFit 1472743117165 1472743120452 3287
mDiffFit 1472743117048 1472743120477 3429
mDiffFit 1472743117146 1472743120974 3828
mDiffFit 1472743117073 1472743120989 3916
mDiffFit 1472743117402 1472743121097 3695
mDiffFit 1472743118020 1472743121273 3253
mDiffFit 1472743118025 1472743121512 3487
mDiffFit 1472743117994 1472743121677 3683
mDiffFit 1472743117991 1472743122014 4023
mDiffFit 1472743118561 1472743122625 4064
mDiffFit 1472743120950 1472743124685 3735
mDiffFit 1472743121538 1472743124875 3337
mDiffFit 1472743121516 1472743125193 3677
mDiffFit 1472743121023 1472743125286 4263
mDiffFit 1472743121503 1472743125511 4008
mDiffFit 1472743121501 1472743125988 4487
mDiffFit 1472743126057 1472743129899 3842
mConcatFit 1472743131275 1472743133787 2512
mBgModel 1472743134135 1472743137443 3308
mBackground 1472743137859 1472743140623 2764
mBackground 1472743137788 1472743140689 2901
mBackground 1472743137848 1472743140866 3018
mBackground 1472743137802 1472743140987 3185
mBackground 1472743137793 1472743141023 3230
mBackground 1472743137851 1472743141098 3247
mBackground 1472743137851 1472743141142 3291
mBackground 1472743137852 1472743141185 3333
mBackground 1472743137793 1472743141310 3517
mBackground 1472743143972 1472743147495 3523
mImgtbl 1472743148007 1472743157018 9011
mAdd 1472743157930 1472743192125 34195
mShrink 1472743192625 1472743197770 5145
mJPEG 1472743198268 1472743200478 2210
mProjectPP 1472743310612 1472743313468 2856
mProjectPP 1472743310667 1472743313839 3172
mProjectPP 1472743310566 1472743313854 3288
mProjectPP 1472743310698 1472743314104 3406
mProjectPP 1472743310567 1472743314081 3514
mProjectPP 1472743310596 1472743314267 3671
mProjectPP 1472743310668 1472743314316 3648
mProjectPP 1472743310667 1472743314371 3704
mProjectPP 1472743310582 1472743314490 3908
mProjectPP 1472743310663 1472743315093 4430
mDiffFit 1472743314442 1472743317641 3199
mDiffFit 1472743314145 1472743317913 3768
mDiffFit 1472743314628 1472743318328 3700
mDiffFit 1472743314678 1472743318356 3678
mDiffFit 1472743314663 1472743318431 3768
mDiffFit 1472743314660 1472743318758 4098
mDiffFit 1472743314749 1472743318914 4165
mDiffFit 1472743314648 1472743319062 4414
mDiffFit 1472743314742 1472743319553 4811
mDiffFit 1472743315448 1472743319711 4263
mDiffFit 1472743327358 1472743331194 3836
mDiffFit 1472743327389 1472743331385 3996
mDiffFit 1472743328969 1472743332646 3677
mDiffFit 1472743329142 1472743333270 4128
mDiffFit 1472743329394 1472743334484 5090
mDiffFit 1472743331701 1472743335963 4262
mDiffFit 1472743332087 1472743336885 4798
mConcatFit 1472743337419 1472743339233 1814
mBgModel 1472743345152 1472743348136 2984
mBackground 1472743348513 1472743351696 3183
mBackground 1472743348511 1472743351865 3354
mBackground 1472743348515 1472743351986 3471
mBackground 1472743348482 1472743352046 3564
mBackground 1472743348525 1472743352133 3608
mBackground 1472743348533 1472743352151 3618
mBackground 1472743348614 1472743352174 3560
mBackground 1472743348517 1472743352231 3714
mBackground 1472743348639 1472743352238 3599
mBackground 1472743348623 1472743352276 3653
mImgtbl 1472743352597 1472743361522 8925
mAdd 1472743362163 1472743393862 31699
mShrink 1472743394384 1472743398872 4488
mJPEG 1472743399478 1472743401617 2139
mProjectPP 1472743742392 1472743745633 3241
mProjectPP 1472743742424 1472743745854 3430
mProjectPP 1472743742388 1472743745748 3360
mProjectPP 1472743742392 1472743745903 3511
mProjectPP 1472743742417 1472743745993 3576
mProjectPP 1472743742420 1472743746010 3590
mProjectPP 1472743742532 1472743746100 3568
mProjectPP 1472743742622 1472743746237 3615
mProjectPP 1472743742389 1472743746273 3884
mProjectPP 1472743742431 1472743746628 4197
mDiffFit 1472743746516 1472743750709 4193
mDiffFit 1472743746638 1472743750742 4104
mDiffFit 1472743746349 1472743750754 4405
mDiffFit 1472743746587 1472743750741 4154
mDiffFit 1472743746634 1472743750905 4271
mDiffFit 1472743747131 1472743750995 3864
mDiffFit 1472743746521 1472743751003 4482
mDiffFit 1472743746578 1472743751016 4438
mDiffFit 1472743747216 1472743751017 3801
mDiffFit 1472743747252 1472743751062 3810
mDiffFit 1472743746517 1472743751300 4783
mDiffFit 1472743747079 1472743751326 4247
mDiffFit 1472743746566 1472743751361 4795
mDiffFit 1472743747130 1472743751775 4645
mDiffFit 1472743746611 1472743752516 5905
mDiffFit 1472743751345 1472743755774 4429
mDiffFit 1472743751693 1472743756104 4411
mConcatFit 1472743756675 1472743760602 3927
mBgModel 1472743761698 1472743764568 2870
mBackground 1472743765056 1472743768205 3149
mBackground 1472743765003 1472743768622 3619
mBackground 1472743765012 1472743768776 3764
mBackground 1472743765039 1472743768953 3914
mBackground 1472743764976 1472743769168 4192
mBackground 1472743765018 1472743769191 4173
mBackground 1472743764939 1472743769290 4351
mBackground 1472743765012 1472743769390 4378
mBackground 1472743765010 1472743769529 4519
mBackground 1472743765050 1472743769431 4381
mImgtbl 1472743770338 1472743777498 7160
mAdd 1472743777893 1472743810650 32757
mShrink 1472743812154 1472743817521 5367
mJPEG 1472743822985 1472743825347 2362
mProjectPP 1472749979465 1472749982437 2972
mProjectPP 1472749979760 1472749983115 3355
mProjectPP 1472749980121 1472749983130 3009
mProjectPP 1472749980525 1472749983613 3088
mProjectPP 1472749980568 1472749983832 3264
mProjectPP 1472749981219 1472749984593 3374
mProjectPP 1472749981780 1472749985408 3628
mProjectPP 1472749982372 1472749985932 3560
mProjectPP 1472749983721 1472749986950 3229
mDiffFit 1472749984320 1472749987885 3565
mDiffFit 1472749984289 1472749987778 3489
mDiffFit 1472749985008 1472749988540 3532
mProjectPP 1472749985616 1472749988980 3364
mDiffFit 1472749985753 1472749990042 4289
mDiffFit 1472749991574 1472749995115 3541
mDiffFit 1472749991666 1472749995123 3457
mDiffFit 1472749991579 1472749995151 3572
mDiffFit 1472749991790 1472749995213 3423
mDiffFit 1472749991558 1472749995282 3724
mDiffFit 1472749991668 1472749995319 3651
mDiffFit 1472749991528 1472749995521 3993
mDiffFit 1472749991588 1472749995750 4162
mDiffFit 1472749991645 1472749995920 4275
mDiffFit 1472749991684 1472749996432 4748
mDiffFit 1472750006680 1472750010768 4088
mDiffFit 1472750007961 1472750011815 3854
mDiffFit 1472750008886 1472750012888 4002
mConcatFit 1472750015815 1472750017751 1936
mBgModel 1472750020673 1472750023492 2819
mBackground 1472750024922 1472750027782 2860
mBackground 1472750025067 1472750027909 2842
mBackground 1472750024905 1472750027978 3073
mBackground 1472750024910 1472750027984 3074
mBackground 1472750024928 1472750028026 3098
mBackground 1472750024994 1472750028143 3149
mBackground 1472750025051 1472750028273 3222
mBackground 1472750024921 1472750028412 3491
mBackground 1472750025028 1472750028468 3440
mImgtbl 1472750049209 1472750054229 5020
mAdd 1472750055211 1472750081117 25906
mShrink 1472750081993 1472750085427 3434
mJPEG 1472750087888 1472750090694 2806
mProjectPP 1472750449598 1472750452646 3048
mProjectPP 1472750449514 1472750453009 3495
mProjectPP 1472750449497 1472750453430 3933
mProjectPP 1472750449547 1472750453425 3878
mProjectPP 1472750449593 1472750453578 3985
mProjectPP 1472750449609 1472750453594 3985
