task id resource request_start request_end request_duration start end time downloaded executed uploaded type
generateData.js 1 1536 0 752 752 90 484 394 117 119 158 sdbcs
createDat.js 4 512 758 1616 858 911 1525 614 107 367 140 sdbcs
createDat.js 2 512 761 1653 892 936 1568 632 117 382 133 sdbcs
createDat.js 5 512 760 1659 899 925 1577 652 138 367 147 sdbcs
createDat.js 3 512 761 1729 968 928 1632 704 122 416 166 sdbcs
ellipsoids-openmp 35 2048 1748 4744 2996 2202 4412 2210 110 1923 177 sdbcs
ellipsoids-openmp 82 2048 1706 4746 3040 2177 4451 2274 127 1934 213 sdbcs
ellipsoids-openmp 37 2048 1747 4747 3000 2232 4500 2268 111 1941 216 sdbcs
ellipsoids-openmp 41 2048 1749 4747 2998 2240 4531 2291 127 1947 217 sdbcs
ellipsoids-openmp 31 2048 1748 4748 3000 2228 4531 2303 126 1989 188 sdbcs
ellipsoids-openmp 43 2048 1750 4748 2998 2249 4529 2280 111 1963 206 sdbcs
ellipsoids-openmp 26 2048 1769 4749 2980 2193 4509 2316 130 1972 214 sdbcs
ellipsoids-openmp 30 2048 1750 4749 2999 2219 4552 2333 122 2010 201 sdbcs
ellipsoids-openmp 60 1536 1633 5059 3426 1784 4837 3053 129 2735 189 sdbcs
ellipsoids-openmp 70 1536 1704 5061 3357 1993 4940 2947 131 2633 183 sdbcs
ellipsoids-openmp 59 1536 1635 5062 3427 1818 4961 3143 107 2871 165 sdbcs
ellipsoids-openmp 62 1536 1639 5074 3435 1828 4989 3161 111 2849 201 sdbcs
ellipsoids-openmp 51 1536 1637 5095 3458 1773 4967 3194 125 2860 209 sdbcs
ellipsoids-openmp 53 1536 1636 5097 3461 1791 4997 3206 116 2880 210 sdbcs
ellipsoids-openmp 27 1536 1748 5108 3360 2247 5040 2793 123 2494 176 sdbcs
ellipsoids-openmp 63 1536 1634 5113 3479 1747 4985 3238 115 2900 223 sdbcs
ellipsoids-openmp 78 1536 1708 5119 3411 2176 5005 2829 130 2504 195 sdbcs
ellipsoids-openmp 12 1536 1677 5133 3456 1932 5059 3127 123 2822 182 sdbcs
ellipsoids-openmp 81 1536 1710 5143 3433 2165 5014 2849 113 2503 233 sdbcs
ellipsoids-openmp 72 1536 1705 5147 3442 2185 5056 2871 111 2549 211 sdbcs
ellipsoids-openmp 48 1536 1637 5148 3511 2112 5126 3014 122 2715 177 sdbcs
ellipsoids-openmp 79 1536 1711 5158 3447 2152 5011 2859 126 2517 216 sdbcs
ellipsoids-openmp 73 1536 1707 5171 3464 2223 5107 2884 106 2596 182 sdbcs
ellipsoids-openmp 34 1536 1749 5176 3427 2226 5087 2861 105 2567 189 sdbcs
ellipsoids-openmp 42 1536 1746 5178 3432 2232 5105 2873 114 2557 202 sdbcs
ellipsoids-openmp 84 1536 1706 5182 3476 2189 5094 2905 117 2574 214 sdbcs
ellipsoids-openmp 36 1536 1748 5187 3439 2259 5125 2866 123 2537 206 sdbcs
ellipsoids-openmp 68 1536 1710 5198 3488 2232 5128 2896 114 2598 184 sdbcs
ellipsoids-openmp 75 1536 1709 5202 3493 2216 5130 2914 108 2637 169 sdbcs
ellipsoids-openmp 32 1536 1752 5217 3465 2222 5117 2895 105 2587 203 sdbcs
ellipsoids-openmp 29 1536 1747 5224 3477 2203 5122 2919 105 2637 177 sdbcs
ellipsoids-openmp 65 1536 1636 5236 3600 2081 5203 3122 111 2778 233 sdbcs
ellipsoids-openmp 58 1536 1640 5237 3597 2065 5146 3081 111 2770 200 sdbcs
ellipsoids-openmp 55 1536 1656 5242 3586 2086 5156 3070 129 2719 222 sdbcs
ellipsoids-openmp 76 1536 1708 5246 3538 2189 5144 2955 122 2597 236 sdbcs
ellipsoids-openmp 44 1536 1751 5250 3499 2179 5112 2933 122 2608 203 sdbcs
ellipsoids-openmp 40 1536 1746 5254 3508 2249 5184 2935 123 2628 184 sdbcs
ellipsoids-openmp 83 1536 1707 5256 3549 2222 5198 2976 118 2663 195 sdbcs
ellipsoids-openmp 18 1536 1679 5259 3580 2124 5146 3022 119 2710 193 sdbcs
ellipsoids-openmp 16 1536 1678 5262 3584 2122 5152 3030 110 2722 198 sdbcs
ellipsoids-openmp 28 1536 1751 5266 3515 2243 5191 2948 138 2622 188 sdbcs
ellipsoids-openmp 7 1536 1696 5297 3601 2218 5264 3046 114 2690 242 sdbcs
ellipsoids-openmp 71 1536 1706 5308 3602 2225 5254 3029 118 2656 255 sdbcs
ellipsoids-openmp 61 1536 1639 5311 3672 2072 5233 3161 107 2854 200 sdbcs
ellipsoids-openmp 57 1536 1638 5318 3680 1975 5156 3181 109 2909 163 sdbcs
ellipsoids-openmp 20 1536 1678 5324 3646 2119 5213 3094 111 2804 179 sdbcs
ellipsoids-openmp 23 1536 1678 5327 3649 2163 5257 3094 117 2764 213 sdbcs
ellipsoids-openmp 19 1536 1696 5332 3636 2196 5280 3084 104 2758 222 sdbcs
ellipsoids-openmp 38 1536 1747 5335 3588 2273 5276 3003 122 2698 183 sdbcs
ellipsoids-openmp 52 1536 1651 5345 3694 2067 5254 3187 140 2859 188 sdbcs
ellipsoids-openmp 47 1536 1639 5353 3714 2034 5243 3209 107 2886 216 sdbcs
ellipsoids-openmp 14 1536 1681 5355 3674 2179 5272 3093 124 2796 173 sdbcs
ellipsoids-openmp 45 1536 1749 5375 3626 2279 5345 3066 140 2596 330 sdbcs
ellipsoids-openmp 11 1536 1681 5382 3701 2203 5332 3129 148 2768 213 sdbcs
ellipsoids-openmp 21 1536 1703 5410 3707 2138 5269 3131 109 2834 188 sdbcs
ellipsoids-openmp 24 1536 1680 5420 3740 2155 5337 3182 124 2863 195 sdbcs
ellipsoids-openmp 15 1536 1679 5429 3750 2113 5307 3194 117 2839 238 sdbcs
ellipsoids-openmp 13 1536 1680 5435 3755 2107 5295 3188 121 2842 225 sdbcs
ellipsoids-openmp 8 1536 1677 5438 3761 2105 5313 3208 108 2914 186 sdbcs
ellipsoids-openmp 17 1536 1695 5441 3746 2268 5451 3183 113 2884 186 sdbcs
ellipsoids-openmp 9 1536 1679 5444 3765 2100 5285 3185 120 2867 198 sdbcs
ellipsoids-openmp 10 1536 1680 5460 3780 2143 5362 3219 115 2881 223 sdbcs
ellipsoids-openmp 6 1536 1696 5493 3797 2132 5360 3228 126 2912 190 sdbcs
ellipsoids-openmp 22 1536 1679 5493 3814 2155 5418 3263 118 2877 268 sdbcs
ellipsoids-openmp 25 1536 1678 5516 3838 2172 5448 3276 119 2941 216 sdbcs
ellipsoids-openmp 33 1536 1751 5588 3837 2228 5499 3271 112 2676 483 sdbcs
ellipsoids-openmp 66 1024 1711 6581 4870 2205 6309 4104 117 3788 199 sdbcs
ellipsoids-openmp 69 1024 1705 6582 4877 2202 6366 4164 105 3829 230 sdbcs
ellipsoids-openmp 67 1024 1705 6583 4878 2207 6405 4198 109 3864 225 sdbcs
ellipsoids-openmp 74 1024 1709 6583 4874 2211 6406 4195 116 3917 162 sdbcs
mean-pack-ell 86 512 5524 6584 1060 5634 6427 793 630 20 143 sdbcs
ellipsoids-openmp 80 1024 1704 6584 4880 2210 6510 4300 119 3986 195 sdbcs
ellipsoids-openmp 77 1024 1707 6616 4909 2237 6541 4304 132 3956 216 sdbcs
ellipsoids-openmp 39 1024 1750 6619 4869 2251 6537 4286 124 3992 170 sdbcs
ellipsoids-openmp 85 1024 1710 6685 4975 2235 6602 4367 135 4008 224 sdbcs
ellipsoids-openmp 64 1024 1634 6688 5054 1824 6601 4777 145 4455 177 sdbcs
ellipsoids-openmp 46 1024 1652 6716 5064 1864 6656 4792 104 4482 206 sdbcs
ellipsoids-openmp 49 1024 1638 6742 5104 2057 6665 4608 113 4279 216 sdbcs
ellipsoids-openmp 50 1024 1632 6843 5211 2043 6778 4735 107 4465 163 sdbcs
ellipsoids-openmp 56 1024 1638 6864 5226 2056 6777 4721 125 4393 203 sdbcs
ellipsoids-openmp 54 1024 1639 6974 5335 2089 6884 4795 127 4435 233 sdbcs
mean-pack-ell 89 512 6696 7510 814 6800 7392 592 428 20 144 sdbcs
mean-pack-ell 87 512 6627 7572 945 6733 7497 764 632 19 113 sdbcs
mean-pack-ell 88 512 7017 8121 1104 7133 7742 609 447 15 147 sdbcs
summary.js 90 256 8126 9653 1527 8304 9565 1261 275 818 168 sdbcs
generateData.js 1 1536 0 678 678 138 501 363 107 122 134 sdbcs
createDat.js 5 512 687 1942 1255 789 1423 634 112 366 156 sdbcs
createDat.js 3 512 688 1944 1256 790 1445 655 147 371 137 sdbcs
createDat.js 4 512 685 1945 1260 788 1464 676 116 390 170 sdbcs
createDat.js 2 512 691 1946 1255 1011 1659 648 124 371 153 sdbcs
ellipsoids-openmp 31 2048 2007 4882 2875 2548 4764 2216 107 1908 201 sdbcs
ellipsoids-openmp 82 2048 1979 4884 2905 2452 4772 2320 119 2026 175 sdbcs
ellipsoids-openmp 30 2048 2010 4911 2901 2561 4827 2266 114 1961 191 sdbcs
ellipsoids-openmp 26 2048 2032 4940 2908 2555 4821 2266 117 1964 185 sdbcs
ellipsoids-openmp 37 2048 2006 4964 2958 2563 4879 2316 121 2007 188 sdbcs
ellipsoids-openmp 35 2048 2007 4967 2960 2514 4839 2325 114 1992 219 sdbcs
ellipsoids-openmp 43 2048 2010 4976 2966 2533 4866 2333 112 2053 168 sdbcs
ellipsoids-openmp 41 2048 2009 5038 3029 2560 4958 2398 125 2031 242 sdbcs
ellipsoids-openmp 72 1536 1978 5449 3471 2240 5354 3114 118 2822 174 sdbcs
ellipsoids-openmp 70 1536 1977 5465 3488 2213 5376 3163 108 2875 180 sdbcs
ellipsoids-openmp 79 1536 1983 5497 3514 2569 5444 2875 133 2551 191 sdbcs
ellipsoids-openmp 34 1536 2009 5498 3489 2566 5426 2860 127 2566 167 sdbcs
ellipsoids-openmp 76 1536 1982 5508 3526 2312 5431 3119 115 2801 203 sdbcs
ellipsoids-openmp 81 1536 1983 5513 3530 2493 5389 2896 133 2579 184 sdbcs
ellipsoids-openmp 29 1536 2006 5521 3515 2542 5434 2892 115 2581 196 sdbcs
ellipsoids-openmp 68 1536 1983 5523 3540 2535 5439 2904 132 2585 187 sdbcs
ellipsoids-openmp 33 1536 2011 5524 3513 2493 5362 2869 109 2562 198 sdbcs
ellipsoids-openmp 84 1536 1979 5541 3562 2621 5552 2931 139 2604 188 sdbcs
ellipsoids-openmp 38 1536 2006 5551 3545 2581 5497 2916 109 2622 185 sdbcs
ellipsoids-openmp 78 1536 1981 5552 3571 2471 5354 2883 135 2581 167 sdbcs
ellipsoids-openmp 75 1536 1982 5563 3581 2479 5419 2940 132 2602 206 sdbcs
ellipsoids-openmp 44 1536 2010 5570 3560 2538 5457 2919 128 2587 204 sdbcs
ellipsoids-openmp 32 1536 2011 5580 3569 2572 5500 2928 125 2624 179 sdbcs
ellipsoids-openmp 71 1536 1979 5581 3602 2379 5422 3043 107 2739 197 sdbcs
ellipsoids-openmp 27 1536 2008 5581 3573 2541 5491 2950 113 2643 194 sdbcs
ellipsoids-openmp 73 1536 1980 5588 3608 2246 5454 3208 112 2914 182 sdbcs
ellipsoids-openmp 83 1536 1980 5592 3612 2489 5470 2981 135 2676 170 sdbcs
ellipsoids-openmp 42 1536 2005 5600 3595 2593 5571 2978 113 2641 224 sdbcs
ellipsoids-openmp 45 1536 2008 5608 3600 2582 5556 2974 151 2633 190 sdbcs
ellipsoids-openmp 36 1536 2008 5616 3608 2308 5517 3209 120 2900 189 sdbcs
ellipsoids-openmp 59 1536 2033 5654 3621 2631 5617 2986 108 2663 215 sdbcs
ellipsoids-openmp 28 1536 2011 5661 3650 2605 5607 3002 121 2689 192 sdbcs
ellipsoids-openmp 60 1536 2033 5678 3645 2590 5597 3007 114 2730 163 sdbcs
