task id resource request_start request_end request_duration type
generateData 1 1536 0 957 957 sdbws 
create_dat_0 2 1024 963 1686 723 sdbws 
create_dat_1 3 1024 965 1802 837 sdbws 
create_dat_2 4 1024 966 1818 852 sdbws 
create_dat_3 5 1024 968 1822 854 sdbws 
execute_case_0_0 6 512 1699 10602 8903 sdbws 
execute_case_0_1 7 512 1702 10778 9076 sdbws 
execute_case_0_2 8 1024 1697 7534 5837 sdbws 
execute_case_1_0 9 2560 1823 4385 2562 sdbws 
execute_case_1_1 10 2048 1818 4892 3074 sdbws 
execute_case_1_2 11 2048 1819 4976 3157 sdbws 
execute_case_2_0 12 2560 1831 4715 2884 sdbws 
execute_case_2_1 13 1536 1832 6390 4558 sdbws 
execute_case_2_2 14 1536 1833 5342 3509 sdbws 
execute_case_3_0 15 1536 1837 5298 3461 sdbws 
execute_case_3_1 16 1536 1839 6202 4363 sdbws 
execute_case_3_2 17 512 1842 10656 8814 sdbws 
average_result_0 18 512 10881 11429 548 sdbws 
average_result_1 19 512 4984 5543 559 sdbws 
average_result_2 20 256 6429 7382 953 sdbws 
average_result_3 21 256 10758 11526 768 sdbws 
summary 22 512 11586 12574 988 sdbws 
