task id resource request_start request_end request_duration start end time downloaded executed uploaded type
generateData.js 1 256 0 1622 1622 437 1525 1088 142 779 167 256
createDat.js 3 256 1629 3123 1494 1885 3061 1176 206 788 182 256
createDat.js 2 256 1628 3305 1677 2110 3215 1105 135 813 157 256
createDat.js 4 256 1632 3484 1852 2140 3181 1041 144 754 143 256
createDat.js 5 256 1634 3487 1853 2102 3303 1201 154 834 213 256
ellipsoids-openmp 81 256 3160 20040 16880 3901 19928 16027 136 15675 216 256
ellipsoids-openmp 105 256 3147 20043 16896 3632 19971 16339 112 15994 233 256
ellipsoids-openmp 58 256 3148 20194 17046 3883 20158 16275 163 15827 285 256
ellipsoids-openmp 76 256 3159 20265 17106 3918 20234 16316 143 15954 219 256
ellipsoids-openmp 91 256 3191 20276 17085 3906 20203 16297 148 15923 226 256
ellipsoids-openmp 99 256 3200 20279 17079 3948 20240 16292 143 15899 250 256
ellipsoids-openmp 104 256 3147 20296 17149 3647 20259 16612 116 16255 241 256
ellipsoids-openmp 59 256 3148 20340 17192 3849 20273 16424 183 15989 252 256
ellipsoids-openmp 75 256 3158 20348 17190 3945 20338 16393 147 15937 309 256
ellipsoids-openmp 77 256 3159 20350 17191 3895 20294 16399 124 16037 238 256
ellipsoids-openmp 60 256 3148 20383 17235 3879 20327 16448 175 16000 273 256
ellipsoids-openmp 56 256 3147 20399 17252 3884 20307 16423 171 15969 283 256
ellipsoids-openmp 84 256 3161 20401 17240 3929 20364 16435 138 16036 261 256
ellipsoids-openmp 68 256 3152 20420 17268 3919 20340 16421 142 16058 221 256
ellipsoids-openmp 57 256 3148 20445 17297 3857 20377 16520 130 16146 244 256
ellipsoids-openmp 66 256 3150 20447 17297 3872 20386 16514 143 16115 256 256
ellipsoids-openmp 62 256 3149 20513 17364 3842 20431 16589 157 16142 290 256
ellipsoids-openmp 97 256 3192 20518 17326 3907 20413 16506 173 16076 257 256
ellipsoids-openmp 87 256 3163 20520 17357 3956 20442 16486 184 16054 248 256
ellipsoids-openmp 102 256 3146 20521 17375 3611 20456 16845 106 16459 280 256
ellipsoids-openmp 88 256 3163 20575 17412 3896 20506 16610 136 16187 287 256
ellipsoids-openmp 85 256 3162 20606 17444 3903 20542 16639 140 16236 263 256
ellipsoids-openmp 63 256 3149 20674 17525 3852 20603 16751 247 16251 253 256
ellipsoids-openmp 100 256 3145 20678 17533 3585 20591 17006 136 16608 262 256
ellipsoids-openmp 79 256 3160 20695 17535 3848 20583 16735 148 16364 223 256
ellipsoids-openmp 90 256 3190 20714 17524 3914 20659 16745 139 16364 242 256
ellipsoids-openmp 71 256 3156 20758 17602 3890 20707 16817 139 16359 319 256
ellipsoids-openmp 86 256 3162 20766 17604 3964 20710 16746 170 16350 226 256
ellipsoids-openmp 96 256 3192 20785 17593 3970 20719 16749 175 16245 329 256
ellipsoids-openmp 83 256 3161 20786 17625 3955 20774 16819 149 16358 312 256
ellipsoids-openmp 78 256 3159 20798 17639 4006 20738 16732 146 16335 251 256
ellipsoids-openmp 80 256 3160 20845 17685 3897 20787 16890 138 16507 245 256
ellipsoids-openmp 73 256 3157 20889 17732 3942 20833 16891 155 16485 251 256
ellipsoids-openmp 95 256 3192 20935 17743 3945 20905 16960 169 16568 223 256
ellipsoids-openmp 64 256 3149 20960 17811 3866 20880 17014 271 16409 334 256
ellipsoids-openmp 65 256 3150 20984 17834 3795 20846 17051 121 16714 216 256
ellipsoids-openmp 67 256 3151 20989 17838 3867 20917 17050 204 16630 216 256
ellipsoids-openmp 74 256 3157 21017 17860 3876 20946 17070 129 16656 285 256
ellipsoids-openmp 61 256 3149 21022 17873 3901 20935 17034 190 16590 254 256
ellipsoids-openmp 89 256 3190 21029 17839 3937 20972 17035 232 16528 275 256
ellipsoids-openmp 101 256 3146 21086 17940 3882 20995 17113 191 16686 236 256
ellipsoids-openmp 103 256 3146 21088 17942 3894 20994 17100 141 16739 220 256
ellipsoids-openmp 82 256 3161 21115 17954 4009 21107 17098 144 16616 338 256
ellipsoids-openmp 93 256 3191 21159 17968 3915 21093 17178 150 16805 223 256
ellipsoids-openmp 70 256 3155 21164 18009 3844 21071 17227 178 16326 723 256
ellipsoids-openmp 72 256 3156 21172 18016 3980 21152 17172 174 16726 272 256
ellipsoids-openmp 98 256 3199 21203 18004 3890 21114 17224 164 16796 264 256
ellipsoids-openmp 94 256 3191 21238 18047 3912 21173 17261 169 16835 257 256
ellipsoids-openmp 69 256 3152 21291 18139 3973 21262 17289 186 16813 290 256
ellipsoids-openmp 46 256 3349 21572 18223 4285 21435 17150 190 16724 236 256
ellipsoids-openmp 28 256 3344 21573 18229 4268 21462 17194 164 16736 294 256
ellipsoids-openmp 6 256 3381 21760 18379 4281 21718 17437 144 17045 248 256
ellipsoids-openmp 27 256 3344 21775 18431 4209 21713 17504 142 17071 291 256
ellipsoids-openmp 11 256 3336 21809 18473 4236 21787 17551 155 17171 225 256
ellipsoids-openmp 10 256 3336 21811 18475 4174 21738 17564 121 17078 365 256
ellipsoids-openmp 42 256 3348 21826 18478 4248 21763 17515 244 17008 263 256
ellipsoids-openmp 40 256 3347 21828 18481 4308 21781 17473 193 17028 252 256
ellipsoids-openmp 17 256 3338 21837 18499 4171 21750 17579 166 17189 224 256
ellipsoids-openmp 48 256 3349 21884 18535 4272 21843 17571 138 17188 245 256
ellipsoids-openmp 26 256 3343 21891 18548 4220 21842 17622 152 17182 288 256
ellipsoids-openmp 51 256 3350 21892 18542 4262 21839 17577 148 17152 277 256
ellipsoids-openmp 52 256 3350 21930 18580 4247 21862 17615 134 17199 282 256
ellipsoids-openmp 12 256 3337 21934 18597 4185 21871 17686 114 17310 262 256
ellipsoids-openmp 13 256 3337 21960 18623 4253 21963 17710 164 17314 232 256
ellipsoids-openmp 39 256 3347 21969 18622 4198 21869 17671 125 17238 308 256
ellipsoids-openmp 44 256 3348 21985 18637 4236 21913 17677 210 17195 272 256
ellipsoids-openmp 19 256 3339 21987 18648 4215 21940 17725 119 17352 254 256
ellipsoids-openmp 22 256 3339 21994 18655 4301 21973 17672 149 17170 353 256
ellipsoids-openmp 25 256 3343 22013 18670 4177 21919 17742 138 17387 217 256
ellipsoids-openmp 53 256 3350 22022 18672 4339 21981 17642 145 17255 242 256
ellipsoids-openmp 50 256 3350 22024 18674 4316 21978 17662 164 17238 260 256
ellipsoids-openmp 7 256 3381 22032 18651 4281 21991 17710 189 17258 263 256
ellipsoids-openmp 41 256 3347 22055 18708 4328 21997 17669 152 17267 250 256
ellipsoids-openmp 54 256 3380 22093 18713 4253 22024 17771 143 17365 263 256
ellipsoids-openmp 21 256 3339 22097 18758 4223 22051 17828 161 17409 258 256
ellipsoids-openmp 45 256 3348 22104 18756 4295 22095 17800 151 17326 323 256
ellipsoids-openmp 34 256 3345 22132 18787 4259 22099 17840 138 17424 278 256
ellipsoids-openmp 15 256 3338 22141 18803 4241 22129 17888 159 17492 237 256
ellipsoids-openmp 29 256 3344 22159 18815 4180 22063 17883 120 17522 241 256
ellipsoids-openmp 23 256 3340 22169 18829 4239 22142 17903 125 17498 280 256
ellipsoids-openmp 36 256 3346 22174 18828 4252 22136 17884 137 17490 257 256
ellipsoids-openmp 18 256 3338 22176 18838 4233 22090 17857 173 17387 297 256
ellipsoids-openmp 30 256 3344 22266 18922 4290 22276 17986 143 17584 259 256
ellipsoids-openmp 38 256 3346 22280 18934 4227 22151 17924 172 17509 243 256
ellipsoids-openmp 32 256 3345 22297 18952 4235 22216 17981 205 17515 261 256
ellipsoids-openmp 49 256 3349 22320 18971 4315 22320 18005 199 17540 266 256
ellipsoids-openmp 33 256 3345 22322 18977 4168 22206 18038 147 17646 245 256
ellipsoids-openmp 195 256 3583 22324 18741 4936 22253 17317 948 16021 348 256
ellipsoids-openmp 14 256 3337 22347 19010 4196 22290 18094 261 17584 249 256
ellipsoids-openmp 24 256 3340 22355 19015 4248 22334 18086 151 17634 301 256
ellipsoids-openmp 16 256 3338 22402 19064 4268 22279 18011 146 17594 271 256
ellipsoids-openmp 192 256 3582 22404 18822 4895 22292 17397 931 16141 325 256
ellipsoids-openmp 20 256 3339 22406 19067 4352 22376 18024 222 17559 243 256
ellipsoids-openmp 92 256 3191 22426 19235 3937 22345 18408 1800 16377 231 256
ellipsoids-openmp 43 256 3348 22464 19116 4262 22428 18166 147 17776 243 256
ellipsoids-openmp 160 256 3573 22514 18941 4923 22487 17564 947 16323 294 256
ellipsoids-openmp 35 256 3346 22529 19183 4267 22460 18193 141 17820 232 256
ellipsoids-openmp 55 256 3380 22532 19152 4317 22487 18170 193 17748 229 256
ellipsoids-openmp 37 256 3346 22554 19208 4280 22535 18255 205 17834 216 256
ellipsoids-openmp 125 256 3528 22583 19055 4911 22504 17593 951 16281 361 256
ellipsoids-openmp 172 256 3576 22662 19086 4932 22620 17688 995 16361 332 256
ellipsoids-openmp 170 256 3576 22736 19160 4922 22700 17778 923 16543 312 256
ellipsoids-openmp 150 256 3570 22811 19241 4902 22773 17871 881 16662 328 256
ellipsoids-openmp 181 256 3579 22814 19235 4934 22766 17832 904 16601 327 256
ellipsoids-openmp 171 256 3576 22882 19306 4881 22811 17930 960 16641 329 256
ellipsoids-openmp 31 256 3345 22891 19546 4185 22794 18609 177 18193 239 256
ellipsoids-openmp 140 256 3532 22901 19369 4931 22847 17916 974 16619 323 256
ellipsoids-openmp 193 256 3582 22920 19338 4930 22855 17925 973 16603 349 256
ellipsoids-openmp 159 256 3573 22927 19354 4975 22898 17923 963 16640 320 256
ellipsoids-openmp 130 256 3530 22943 19413 4869 22881 18012 965 16701 346 256
ellipsoids-openmp 168 256 3575 22960 19385 4959 22933 17974 940 16702 332 256
ellipsoids-openmp 190 256 3581 22976 19395 4967 22941 17974 955 16643 376 256
ellipsoids-openmp 156 256 3572 22992 19420 4867 22906 18039 960 16759 320 256
ellipsoids-openmp 47 256 3349 22995 19646 4275 22941 18666 193 18224 249 256
ellipsoids-openmp 179 256 3578 23008 19430 4911 22960 18049 917 16863 269 256
ellipsoids-openmp 176 256 3577 23026 19449 4954 23005 18051 992 16723 336 256
ellipsoids-openmp 175 256 3577 23052 19475 4976 23027 18051 985 16763 303 256
ellipsoids-openmp 167 256 3575 23070 19495 4940 22981 18041 1021 16661 359 256
ellipsoids-openmp 191 256 3582 23091 19509 4972 23054 18082 941 16740 401 256
ellipsoids-openmp 138 256 3531 23105 19574 4921 23059 18138 981 16782 375 256
ellipsoids-openmp 128 256 3529 23109 19580 4922 23071 18149 901 16902 346 256
ellipsoids-openmp 114 256 3524 23121 19597 4893 23093 18200 939 16944 317 256
ellipsoids-openmp 120 256 3525 23133 19608 4860 23046 18186 1021 16822 343 256
