task id resource request_start request_end request_duration type
generateData 1 1024 0 779 779 sdbcs 
create_dat_3 5 1536 791 1471 680 sdbcs 
create_dat_1 3 1536 793 1551 758 sdbcs 
create_dat_2 4 512 798 1850 1052 sdbcs 
create_dat_0 2 1024 800 1573 773 sdbcs 
execute_case_2_16 122 2048 1940 5105 3165 sdbcs 
execute_case_2_28 134 1536 1943 5771 3828 sdbcs 
execute_case_2_0 106 1536 1944 5791 3847 sdbcs 
execute_case_2_38 144 512 1952 11628 9676 sdbcs 
execute_case_2_29 135 1024 1930 7171 5241 sdbcs 
execute_case_2_27 133 1536 1930 5731 3801 sdbcs 
execute_case_2_42 148 1536 1931 5768 3837 sdbcs 
execute_case_2_11 117 1536 1931 5751 3820 sdbcs 
execute_case_0_3 9 1024 1681 7030 5349 sdbcs 
execute_case_2_36 142 1536 1931 5742 3811 sdbcs 
execute_case_2_47 153 1024 1932 7167 5235 sdbcs 
execute_case_2_46 152 1024 1932 7186 5254 sdbcs 
execute_case_2_9 115 1536 1932 5759 3827 sdbcs 
execute_case_2_30 136 1024 1933 7129 5196 sdbcs 
execute_case_0_46 52 2048 1681 4884 3203 sdbcs 
execute_case_0_37 43 1536 1682 5533 3851 sdbcs 
execute_case_2_13 119 1536 1933 5756 3823 sdbcs 
execute_case_2_37 143 1536 1933 5763 3830 sdbcs 
execute_case_0_0 6 1024 1682 6980 5298 sdbcs 
execute_case_2_18 124 1536 1934 5712 3778 sdbcs 
execute_case_0_2 8 1024 1683 7052 5369 sdbcs 
execute_case_2_39 145 1024 1934 7218 5284 sdbcs 
execute_case_2_31 137 1024 1934 7190 5256 sdbcs 
execute_case_2_8 114 1536 1935 5758 3823 sdbcs 
execute_case_2_49 155 512 1935 11679 9744 sdbcs 
execute_case_2_26 132 1536 1935 5789 3854 sdbcs 
execute_case_2_48 154 1024 1935 7161 5226 sdbcs 
execute_case_0_29 35 1024 1683 7010 5327 sdbcs 
execute_case_2_10 116 1536 1936 5822 3886 sdbcs 
execute_case_2_1 107 1536 1936 5743 3807 sdbcs 
execute_case_2_14 120 1536 1936 5741 3805 sdbcs 
execute_case_2_20 126 1536 1937 5767 3830 sdbcs 
execute_case_2_22 128 1024 1937 7222 5285 sdbcs 
execute_case_0_31 37 1024 1684 6999 5315 sdbcs 
execute_case_0_34 40 1024 1684 7050 5366 sdbcs 
execute_case_0_43 49 1536 1685 5548 3863 sdbcs 
execute_case_2_43 149 1024 1937 7338 5401 sdbcs 
execute_case_0_33 39 1024 1685 7006 5321 sdbcs 
execute_case_2_33 139 1024 1938 7163 5225 sdbcs 
execute_case_0_23 29 1024 1685 7066 5381 sdbcs 
execute_case_2_17 123 1536 1938 5798 3860 sdbcs 
execute_case_0_48 54 1024 1686 7029 5343 sdbcs 
execute_case_0_45 51 1024 1686 7027 5341 sdbcs 
execute_case_0_49 55 1024 1686 7003 5317 sdbcs 
execute_case_0_38 44 2048 1687 4904 3217 sdbcs 
execute_case_0_35 41 1024 1688 7091 5403 sdbcs 
execute_case_2_40 146 1024 1939 7249 5310 sdbcs 
execute_case_2_23 129 1536 1939 5751 3812 sdbcs 
execute_case_0_1 7 1536 1688 5569 3881 sdbcs 
execute_case_0_26 32 1024 1689 7001 5312 sdbcs 
execute_case_0_36 42 1024 1689 7039 5350 sdbcs 
execute_case_2_6 112 1536 1939 5765 3826 sdbcs 
execute_case_2_34 140 1024 1940 7195 5255 sdbcs 
execute_case_2_45 151 1024 1940 7240 5300 sdbcs 
execute_case_2_35 141 1024 1941 7249 5308 sdbcs 
execute_case_2_25 131 1024 1941 7210 5269 sdbcs 
execute_case_0_41 47 1024 1689 7070 5381 sdbcs 
execute_case_0_47 53 1024 1690 7051 5361 sdbcs 
