task id resource request_start request_end request_duration type
generateData 1 1024 0 692 692 sdbcs 
create_dat_3 5 1536 712 1301 589 sdbcs 
create_dat_1 3 1536 707 1290 583 sdbcs 
create_dat_2 4 512 702 1684 982 sdbcs 
create_dat_0 2 1024 701 1394 693 sdbcs 
execute_case_2_16 122 2048 1844 5038 3194 sdbcs 
execute_case_2_28 134 1536 1907 5867 3960 sdbcs 
execute_case_2_0 106 1536 1875 5668 3793 sdbcs 
execute_case_2_38 144 512 1796 11343 9547 sdbcs 
execute_case_2_29 135 1024 1821 7328 5507 sdbcs 
execute_case_2_27 133 1536 1907 5832 3925 sdbcs 
execute_case_2_42 148 1536 1925 5872 3947 sdbcs 
execute_case_2_11 117 1536 1880 5737 3857 sdbcs 
execute_case_0_3 9 1024 1518 7253 5735 sdbcs 
execute_case_2_36 142 1536 1916 5904 3988 sdbcs 
execute_case_2_47 153 1024 1834 7303 5469 sdbcs 
execute_case_2_46 152 1024 1828 7314 5486 sdbcs 
execute_case_2_9 115 1536 1880 5736 3856 sdbcs 
execute_case_2_30 136 1024 1822 7424 5602 sdbcs 
execute_case_0_46 52 2048 1495 4623 3128 sdbcs 
execute_case_0_37 43 1536 1564 5649 4085 sdbcs 
execute_case_2_13 119 1536 1881 5727 3846 sdbcs 
execute_case_2_37 143 1536 1916 5863 3947 sdbcs 
execute_case_0_0 6 1024 1494 7075 5581 sdbcs 
execute_case_2_18 124 1536 1885 5770 3885 sdbcs 
execute_case_0_2 8 1024 1517 6971 5454 sdbcs 
execute_case_2_39 145 1024 1825 7285 5460 sdbcs 
execute_case_2_31 137 1024 1822 7247 5425 sdbcs 
execute_case_2_8 114 1536 1879 5700 3821 sdbcs 
execute_case_2_49 155 512 1833 11418 9585 sdbcs 
execute_case_2_26 132 1536 1906 5869 3963 sdbcs 
execute_case_2_48 154 1024 1843 7277 5434 sdbcs 
execute_case_0_29 35 1024 1473 7031 5558 sdbcs 
execute_case_2_10 116 1536 1880 5721 3841 sdbcs 
execute_case_2_1 107 1536 1875 5729 3854 sdbcs 
execute_case_2_14 120 1536 1882 5699 3817 sdbcs 
execute_case_2_20 126 1536 1887 5667 3780 sdbcs 
execute_case_2_22 128 1024 1801 7295 5494 sdbcs 
execute_case_0_31 37 1024 1474 7047 5573 sdbcs 
execute_case_0_34 40 1024 1475 7057 5582 sdbcs 
execute_case_0_43 49 1536 1566 5607 4041 sdbcs 
execute_case_2_43 149 1024 1827 7364 5537 sdbcs 
execute_case_0_33 39 1024 1475 6895 5420 sdbcs 
execute_case_2_33 139 1024 1823 7294 5471 sdbcs 
execute_case_0_23 29 1024 1469 6825 5356 sdbcs 
execute_case_2_17 123 1536 1884 5761 3877 sdbcs 
execute_case_0_48 54 1024 1486 6951 5465 sdbcs 
execute_case_0_45 51 1024 1480 7058 5578 sdbcs 
execute_case_0_49 55 1024 1486 7013 5527 sdbcs 
execute_case_0_38 44 2048 1491 4600 3109 sdbcs 
execute_case_0_35 41 1024 1476 6973 5497 sdbcs 
execute_case_2_40 146 1024 1826 7270 5444 sdbcs 
execute_case_2_23 129 1536 1889 5737 3848 sdbcs 
execute_case_0_1 7 1536 1569 5647 4078 sdbcs 
execute_case_0_26 32 1024 1471 6778 5307 sdbcs 
execute_case_0_36 42 1024 1476 7015 5539 sdbcs 
execute_case_2_6 112 1536 1878 5678 3800 sdbcs 
execute_case_2_34 140 1024 1824 7336 5512 sdbcs 
execute_case_2_45 151 1024 1828 7268 5440 sdbcs 
execute_case_2_35 141 1024 1824 7286 5462 sdbcs 
execute_case_2_25 131 1024 1820 7312 5492 sdbcs 
