task id resource request_start request_end request_duration start end time downloaded executed uploaded type
generateData.js 1 512 0 1039 1039 306 995 689 135 424 130 sdbws
createDat.js 5 512 1093 2271 1178 1469 2080 611 114 381 116 sdbws
createDat.js 3 512 1092 2272 1180 1449 2098 649 109 380 160 sdbws
createDat.js 2 256 1091 2455 1364 1216 2349 1133 145 838 150 sdbws
createDat.js 4 256 1093 2771 1678 1517 2661 1144 176 805 163 sdbws
ellipsoids-openmp 182 1024 2361 8880 6519 2976 7284 4308 108 3962 238 sdbws
ellipsoids-openmp 85 1024 2490 8882 6392 3336 7620 4284 123 3950 211 sdbws
ellipsoids-openmp 103 1024 2473 8883 6410 3195 7667 4472 119 4139 214 sdbws
ellipsoids-openmp 47 1024 2616 8883 6267 3452 7939 4487 109 4172 206 sdbws
ellipsoids-openmp 155 1024 2851 8884 6033 3531 8193 4662 128 4356 178 sdbws
ellipsoids-openmp 166 512 2348 11181 8833 2721 11123 8402 119 8065 218 sdbws
ellipsoids-openmp 164 512 2347 11194 8847 2734 11155 8421 108 8083 230 sdbws
ellipsoids-openmp 181 512 2361 11202 8841 2748 11148 8400 120 8069 211 sdbws
ellipsoids-openmp 157 512 2340 11207 8867 2700 11145 8445 111 8107 227 sdbws
ellipsoids-openmp 163 512 2346 11221 8875 2928 11146 8218 122 7889 207 sdbws
ellipsoids-openmp 159 512 2341 11236 8895 2934 11179 8245 119 7895 231 sdbws
ellipsoids-openmp 162 512 2346 11276 8930 2781 11220 8439 116 8102 221 sdbws
ellipsoids-openmp 173 512 2355 11304 8949 2956 11246 8290 132 7928 230 sdbws
ellipsoids-openmp 158 512 2340 11314 8974 2934 11257 8323 149 7994 180 sdbws
ellipsoids-openmp 175 512 2356 11330 8974 2967 11267 8300 125 7955 220 sdbws
ellipsoids-openmp 191 512 2410 11359 8949 2924 11308 8384 108 7977 299 sdbws
ellipsoids-openmp 187 512 2366 11399 9033 3138 11333 8195 136 7855 204 sdbws
ellipsoids-openmp 168 512 2350 11415 9065 2966 11364 8398 116 8058 224 sdbws
ellipsoids-openmp 183 512 2362 11424 9062 3001 11365 8364 139 7999 226 sdbws
ellipsoids-openmp 169 512 2351 11433 9082 2993 11406 8413 141 8064 208 sdbws
ellipsoids-openmp 180 512 2360 11445 9085 2972 11390 8418 126 8051 241 sdbws
ellipsoids-openmp 82 512 2488 11447 8959 3245 11413 8168 127 7843 198 sdbws
ellipsoids-openmp 167 512 2349 11460 9111 2946 11396 8450 105 8112 233 sdbws
ellipsoids-openmp 188 512 2408 11470 9062 3146 11417 8271 147 7946 178 sdbws
ellipsoids-openmp 190 512 2409 11481 9072 3166 11442 8276 126 7935 215 sdbws
ellipsoids-openmp 196 512 2412 11484 9072 3193 11440 8247 151 7850 246 sdbws
ellipsoids-openmp 160 512 2343 11516 9173 2950 11461 8511 132 8168 211 sdbws
ellipsoids-openmp 185 512 2363 11518 9155 3153 11468 8315 130 7948 237 sdbws
ellipsoids-openmp 197 512 2412 11520 9108 3178 11474 8296 117 7930 249 sdbws
ellipsoids-openmp 171 512 2353 11521 9168 2947 11449 8502 133 8165 204 sdbws
ellipsoids-openmp 200 512 2445 11542 9097 3184 11498 8314 116 7958 240 sdbws
ellipsoids-openmp 100 512 2470 11548 9078 3203 11512 8309 120 7938 251 sdbws
ellipsoids-openmp 77 512 2486 11565 9079 3216 11505 8289 118 7955 216 sdbws
ellipsoids-openmp 203 512 2447 11574 9127 3178 11515 8337 131 7962 244 sdbws
ellipsoids-openmp 97 512 2496 11576 9080 3368 11531 8163 111 7834 218 sdbws
ellipsoids-openmp 96 512 2495 11578 9083 3352 11516 8164 120 7832 212 sdbws
ellipsoids-openmp 189 512 2409 11581 9172 3149 11536 8387 121 8041 225 sdbws
ellipsoids-openmp 74 512 2485 11583 9098 3205 11511 8306 125 7958 223 sdbws
ellipsoids-openmp 170 512 2352 11608 9256 2965 11545 8580 160 8220 200 sdbws
ellipsoids-openmp 56 512 2474 11611 9137 3187 11545 8358 145 7996 217 sdbws
ellipsoids-openmp 161 512 2345 11614 9269 2970 11581 8611 111 8290 210 sdbws
ellipsoids-openmp 94 512 2495 11616 9121 3370 11570 8200 123 7878 199 sdbws
ellipsoids-openmp 178 512 2359 11629 9270 2962 11566 8604 150 8250 204 sdbws
ellipsoids-openmp 156 512 2339 11644 9305 2932 11580 8648 128 8258 262 sdbws
ellipsoids-openmp 177 512 2359 11668 9309 2987 11628 8641 130 8247 264 sdbws
ellipsoids-openmp 99 512 2497 11670 9173 3362 11607 8245 116 7876 253 sdbws
ellipsoids-openmp 192 512 2410 11672 9262 3143 11613 8470 145 8060 265 sdbws
ellipsoids-openmp 73 512 2484 11676 9192 3217 11619 8402 138 7999 265 sdbws
ellipsoids-openmp 199 512 2445 11678 9233 3202 11642 8440 116 8089 235 sdbws
ellipsoids-openmp 104 512 2473 11688 9215 3181 11621 8440 118 8140 182 sdbws
ellipsoids-openmp 165 512 2347 11689 9342 2967 11647 8680 115 8329 236 sdbws
ellipsoids-openmp 68 512 2479 11706 9227 3223 11663 8440 126 8098 216 sdbws
ellipsoids-openmp 59 512 2475 11708 9233 3209 11658 8449 109 8137 203 sdbws
ellipsoids-openmp 61 512 2476 11710 9234 3203 11667 8464 126 8131 207 sdbws
ellipsoids-openmp 174 512 2355 11719 9364 2969 11665 8696 116 8337 243 sdbws
ellipsoids-openmp 176 512 2358 11730 9372 2971 11664 8693 116 8356 221 sdbws
ellipsoids-openmp 65 512 2477 11734 9257 3213 11694 8481 123 8177 181 sdbws
ellipsoids-openmp 179 512 2360 11737 9377 2958 11668 8710 125 8360 225 sdbws
ellipsoids-openmp 195 512 2412 11739 9327 3158 11679 8521 119 8163 239 sdbws
ellipsoids-openmp 70 512 2480 11744 9264 3219 11692 8473 132 8111 230 sdbws
ellipsoids-openmp 62 512 2476 11747 9271 3218 11701 8483 111 8153 219 sdbws
ellipsoids-openmp 204 512 2469 11748 9279 3199 11707 8508 123 8165 220 sdbws
ellipsoids-openmp 67 512 2478 11751 9273 3205 11694 8489 143 8149 197 sdbws
ellipsoids-openmp 102 512 2472 11756 9284 3172 11687 8515 123 8176 216 sdbws
ellipsoids-openmp 101 512 2471 11761 9290 3187 11700 8513 154 8121 238 sdbws
ellipsoids-openmp 172 512 2353 11770 9417 2962 11709 8747 145 8362 240 sdbws
ellipsoids-openmp 76 512 2486 11774 9288 3213 11712 8499 132 7909 458 sdbws
ellipsoids-openmp 58 512 2475 11776 9301 3177 11701 8524 120 8154 250 sdbws
ellipsoids-openmp 92 512 2494 11778 9284 3349 11718 8369 121 8049 199 sdbws
ellipsoids-openmp 80 512 2487 11781 9294 3369 11749 8380 126 8077 177 sdbws
ellipsoids-openmp 78 512 2486 11787 9301 3199 11715 8516 361 7928 227 sdbws
ellipsoids-openmp 64 512 2477 11789 9312 3210 11742 8532 144 8139 249 sdbws
ellipsoids-openmp 205 512 2470 11796 9326 3209 11746 8537 164 8159 214 sdbws
ellipsoids-openmp 198 512 2444 11799 9355 3186 11753 8567 146 8182 239 sdbws
ellipsoids-openmp 66 512 2478 11808 9330 3231 11771 8540 103 8199 238 sdbws
ellipsoids-openmp 105 512 2474 11825 9351 3184 11757 8573 118 8215 240 sdbws
ellipsoids-openmp 201 512 2446 11831 9385 3186 11775 8589 123 8231 235 sdbws
ellipsoids-openmp 79 512 2487 11838 9351 3241 11798 8557 129 8198 230 sdbws
ellipsoids-openmp 71 512 2482 11847 9365 3208 11786 8578 187 8168 223 sdbws
ellipsoids-openmp 93 512 2494 11852 9358 3371 11820 8449 112 8134 203 sdbws
ellipsoids-openmp 87 512 2492 11864 9372 3352 11815 8463 111 8170 182 sdbws
ellipsoids-openmp 86 512 2491 11870 9379 3348 11816 8468 117 8104 247 sdbws
ellipsoids-openmp 69 512 2479 11872 9393 3217 11819 8602 114 8269 219 sdbws
ellipsoids-openmp 194 512 2411 11874 9463 3147 11804 8657 122 8297 238 sdbws
ellipsoids-openmp 202 512 2447 11880 9433 3187 11831 8644 123 8293 228 sdbws
ellipsoids-openmp 88 512 2493 11893 9400 3330 11815 8485 102 8166 217 sdbws
ellipsoids-openmp 81 512 2487 11897 9410 3344 11840 8496 175 8115 206 sdbws
ellipsoids-openmp 95 512 2495 11901 9406 3359 11842 8483 118 8158 207 sdbws
ellipsoids-openmp 75 512 2485 11903 9418 3204 11834 8630 109 8281 240 sdbws
ellipsoids-openmp 184 512 2363 11913 9550 3140 11844 8704 170 8310 224 sdbws
ellipsoids-openmp 60 512 2476 11914 9438 3202 11853 8651 126 8284 241 sdbws
ellipsoids-openmp 186 512 2365 11915 9550 3154 11864 8710 124 8371 215 sdbws
ellipsoids-openmp 83 512 2489 11917 9428 3355 11870 8515 117 8178 220 sdbws
ellipsoids-openmp 63 512 2477 11927 9450 3210 11865 8655 106 8358 191 sdbws
ellipsoids-openmp 91 512 2494 11972 9478 3354 11923 8569 119 8239 211 sdbws
ellipsoids-openmp 84 512 2490 11989 9499 3314 11904 8590 125 8242 223 sdbws
ellipsoids-openmp 72 512 2484 12017 9533 3205 11955 8750 105 8425 220 sdbws
ellipsoids-openmp 12 512 2601 12040 9439 3402 11994 8592 129 8254 209 sdbws
ellipsoids-openmp 193 512 2411 12068 9657 3147 12003 8856 144 8485 227 sdbws
ellipsoids-openmp 90 512 2493 12085 9592 3420 12039 8619 133 8245 241 sdbws
ellipsoids-openmp 57 512 2474 12169 9695 3195 12114 8919 153 8565 201 sdbws
ellipsoids-openmp 16 512 2603 12178 9575 3422 12140 8718 113 8417 188 sdbws
ellipsoids-openmp 89 512 2493 12209 9716 3348 12155 8807 159 8429 219 sdbws
ellipsoids-openmp 98 512 2497 12263 9766 3369 12207 8838 117 8255 466 sdbws
ellipsoids-openmp 11 512 2600 12338 9738 3391 12292 8901 143 8557 201 sdbws
ellipsoids-openmp 17 512 2603 13110 10507 3464 12940 9476 557 8663 256 sdbws
ellipsoids-openmp 117 512 2792 13142 10350 4031 13113 9082 530 8300 252 sdbws
ellipsoids-openmp 13 512 2601 13148 10547 3956 13101 9145 503 8323 319 sdbws
ellipsoids-openmp 31 512 2610 13190 10580 3952 13123 9171 482 8441 248 sdbws
ellipsoids-openmp 27 512 2607 13191 10584 3967 13142 9175 508 8422 245 sdbws
ellipsoids-openmp 25 512 2606 13229 10623 3986 13182 9196 516 8421 259 sdbws
ellipsoids-openmp 51 512 2618 13241 10623 3965 13185 9220 489 8463 268 sdbws
ellipsoids-openmp 8 512 2660 13254 10594 3995 13211 9216 488 8461 267 sdbws
ellipsoids-openmp 138 512 2799 13256 10457 4016 13194 9178 521 8405 252 sdbws
ellipsoids-openmp 109 512 2790 13316 10526 4008 13257 9249 507 8481 261 sdbws
ellipsoids-openmp 147 512 2828 13318 10490 4044 13255 9211 552 8420 239 sdbws
ellipsoids-openmp 125 512 2795 13319 10524 4011 13260 9249 486 8502 261 sdbws
ellipsoids-openmp 52 512 2618 13320 10702 3971 13244 9273 499 8501 273 sdbws
ellipsoids-openmp 28 512 2607 13320 10713 3954 13272 9318 511 8542 265 sdbws
ellipsoids-openmp 35 512 2612 13324 10712 3947 13257 9310 513 8542 255 sdbws
ellipsoids-openmp 33 512 2611 13337 10726 3944 13275 9331 514 8561 256 sdbws
ellipsoids-openmp 131 512 2797 13339 10542 4015 13290 9275 489 8504 282 sdbws
ellipsoids-openmp 132 512 2797 13346 10549 4025 13299 9274 489 8541 244 sdbws
