task id resource request_start request_end request_duration type
generateData 1 512 0 1227 1227 sdbws 
create_dat_0 2 256 1242 2683 1441 sdbws 
create_dat_1 3 512 1244 2338 1094 sdbws 
create_dat_2 4 256 1245 2677 1432 sdbws 
create_dat_3 5 512 1246 2292 1046 sdbws 
execute_case_0_0 6 512 2763 12751 9988 sdbws 
execute_case_0_1 7 512 2771 12692 9921 sdbws 
execute_case_0_2 8 512 2778 12640 9862 sdbws 
execute_case_0_3 9 512 2782 12687 9905 sdbws 
execute_case_0_4 10 512 2735 12544 9809 sdbws 
execute_case_0_5 11 512 2736 12309 9573 sdbws 
execute_case_0_6 12 512 2736 12280 9544 sdbws 
execute_case_0_7 13 512 2737 12499 9762 sdbws 
execute_case_0_8 14 512 2737 12600 9863 sdbws 
execute_case_0_9 15 512 2737 12657 9920 sdbws 
execute_case_0_10 16 512 2738 12565 9827 sdbws 
execute_case_0_11 17 512 2738 12610 9872 sdbws 
execute_case_0_12 18 512 2738 12481 9743 sdbws 
execute_case_0_13 19 512 2739 12527 9788 sdbws 
execute_case_0_14 20 512 2739 12696 9957 sdbws 
execute_case_0_15 21 512 2740 12725 9985 sdbws 
execute_case_0_16 22 512 2740 12666 9926 sdbws 
execute_case_0_17 23 512 2740 12649 9909 sdbws 
execute_case_0_18 24 512 2741 12613 9872 sdbws 
execute_case_0_19 25 512 2741 12522 9781 sdbws 
execute_case_0_20 26 512 2741 12873 10132 sdbws 
execute_case_0_21 27 512 2741 12636 9895 sdbws 
execute_case_0_22 28 512 2742 12633 9891 sdbws 
execute_case_0_23 29 512 2742 12659 9917 sdbws 
execute_case_0_24 30 512 2742 12669 9927 sdbws 
execute_case_0_25 31 512 2743 12512 9769 sdbws 
execute_case_0_26 32 512 2743 12638 9895 sdbws 
execute_case_0_27 33 512 2744 12529 9785 sdbws 
execute_case_0_28 34 512 2744 12606 9862 sdbws 
execute_case_0_29 35 512 2745 12589 9844 sdbws 
execute_case_0_30 36 512 2745 12607 9862 sdbws 
execute_case_0_31 37 512 2745 12685 9940 sdbws 
execute_case_0_32 38 512 2749 12610 9861 sdbws 
execute_case_0_33 39 512 2750 12535 9785 sdbws 
execute_case_0_34 40 512 2750 12685 9935 sdbws 
execute_case_0_35 41 512 2750 12586 9836 sdbws 
execute_case_0_36 42 512 2750 12583 9833 sdbws 
execute_case_0_37 43 512 2751 12614 9863 sdbws 
execute_case_0_38 44 512 2751 12696 9945 sdbws 
execute_case_0_39 45 512 2751 12612 9861 sdbws 
execute_case_0_40 46 512 2752 12677 9925 sdbws 
execute_case_0_41 47 1024 2757 8743 5986 sdbws 
execute_case_0_42 48 512 2757 12611 9854 sdbws 
execute_case_0_43 49 512 2758 12694 9936 sdbws 
execute_case_0_44 50 512 2758 12564 9806 sdbws 
execute_case_0_45 51 512 2758 12539 9781 sdbws 
execute_case_0_46 52 512 2758 12643 9885 sdbws 
execute_case_0_47 53 512 2759 12575 9816 sdbws 
execute_case_0_48 54 512 2759 12752 9993 sdbws 
execute_case_0_49 55 512 2759 12776 10017 sdbws 
execute_case_1_0 56 512 2406 11552 9146 sdbws 
execute_case_1_1 57 512 2406 11539 9133 sdbws 
execute_case_1_2 58 512 2407 11538 9131 sdbws 
execute_case_1_3 59 512 2407 11539 9132 sdbws 
execute_case_1_4 60 512 2407 11757 9350 sdbws 
execute_case_1_5 61 512 2408 11618 9210 sdbws 
execute_case_1_6 62 512 2408 11708 9300 sdbws 
execute_case_1_7 63 512 2408 11740 9332 sdbws 
execute_case_1_8 64 512 2409 11625 9216 sdbws 
execute_case_1_9 65 512 2409 11517 9108 sdbws 
execute_case_1_10 66 512 2409 11636 9227 sdbws 
execute_case_1_11 67 512 2410 11706 9296 sdbws 
execute_case_1_12 68 512 2410 11704 9294 sdbws 
execute_case_1_13 69 512 2410 11631 9221 sdbws 
execute_case_1_14 70 512 2412 11469 9057 sdbws 
execute_case_1_15 71 512 2413 11788 9375 sdbws 
execute_case_1_16 72 512 2413 11693 9280 sdbws 
execute_case_1_17 73 512 2414 11698 9284 sdbws 
execute_case_1_18 74 512 2415 11574 9159 sdbws 
execute_case_1_19 75 512 2415 11727 9312 sdbws 
execute_case_1_20 76 512 2415 11782 9367 sdbws 
execute_case_1_21 77 512 2416 11646 9230 sdbws 
execute_case_1_22 78 512 2416 11713 9297 sdbws 
execute_case_1_23 79 512 2420 11754 9334 sdbws 
execute_case_1_24 80 512 2421 11683 9262 sdbws 
execute_case_1_25 81 512 2421 11706 9285 sdbws 
execute_case_1_26 82 512 2421 11550 9129 sdbws 
execute_case_1_27 83 512 2422 11686 9264 sdbws 
execute_case_1_28 84 512 2422 11827 9405 sdbws 
execute_case_1_29 85 1024 2422 7928 5506 sdbws 
execute_case_1_30 86 512 2423 11694 9271 sdbws 
execute_case_1_31 87 512 2423 11655 9232 sdbws 
execute_case_1_32 88 512 2424 11591 9167 sdbws 
execute_case_1_33 89 512 2424 11792 9368 sdbws 
execute_case_1_34 90 512 2424 11717 9293 sdbws 
execute_case_1_35 91 512 2427 11747 9320 sdbws 
