task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mProjectPP 1 256 0 5818 5818 815 6056 5241 323 4301 617 256
mProjectPP 7 256 8 5820 5812 823 6030 5207 379 4223 605 256
mProjectPP 3 256 7 5821 5814 776 6070 5294 393 4240 661 256
mProjectPP 2 256 6 5822 5816 677 6015 5338 384 4304 650 256
mProjectPP 6 256 8 5822 5814 817 6152 5335 379 4323 633 256
mProjectPP 10 256 37 5823 5786 777 6164 5387 485 4281 621 256
mProjectPP 5 256 8 5823 5815 792 6275 5483 329 4540 614 256
mProjectPP 8 256 9 5858 5849 741 6365 5624 527 4340 757 256
mDiffFit 17 256 5842 7827 1985 6578 8406 1828 1220 323 285 256
mDiffFit 22 256 5841 8004 2163 6489 8540 2051 1393 323 335 256
mDiffFit 23 256 5840 8009 2169 6513 8541 2028 1223 423 382 256
mDiffFit 21 256 5841 8221 2380 6495 8722 2227 1156 560 511 256
mDiffFit 26 256 5841 8281 2440 6465 8806 2341 1278 740 323 256
mProjectPP 4 256 7 8287 8280 2472 8813 6341 1060 4421 860 256
mDiffFit 13 256 5842 8338 2496 6512 8859 2347 1470 522 355 256
mDiffFit 12 256 5839 8342 2503 6428 8848 2420 1700 363 357 256
mDiffFit 11 256 5840 8887 3047 6432 9258 2826 1791 681 354 256
mProjectPP 9 256 36 9651 9615 3546 10195 6649 1009 4362 1278 256
mDiffFit 19 256 8293 11394 3101 8917 10934 2017 1185 363 469 256
mDiffFit 16 256 8296 11396 3100 8902 11149 2247 1347 559 341 256
mDiffFit 18 256 5864 11397 5533 6983 11750 4767 3681 702 384 256
mDiffFit 14 256 5840 11480 5640 7289 11983 4694 3716 661 317 256
mDiffFit 15 256 5863 11630 5767 7518 12181 4663 3759 578 326 256
mDiffFit 25 256 9664 11954 2290 10243 12234 1991 1159 521 311 256
mDiffFit 24 256 9662 11955 2293 10323 12408 2085 1178 561 346 256
mDiffFit 20 256 8295 12000 3705 8921 12526 3605 2511 701 393 256
mDiffFit 27 256 9657 13294 3637 10316 13838 3522 2318 542 662 256
mConcatFit 28 256 13301 15169 1868 13935 15713 1778 620 962 196 256
mBgModel 29 256 15175 28694 13519 15814 29235 13421 129 13132 160 256
mBackground 36 256 28718 30996 2278 29391 30873 1482 558 341 583 256
mBackground 32 256 28717 30999 2282 29323 30821 1498 578 303 617 256
mBackground 33 256 28717 31000 2283 29377 30895 1518 604 321 593 256
mBackground 39 256 28726 31001 2275 29384 30903 1519 558 342 619 256
mBackground 38 256 28724 31004 2280 29389 31133 1744 599 320 825 256
mBackground 31 256 28716 31005 2289 29350 31321 1971 705 402 864 256
mBackground 35 256 28718 31005 2287 29615 31412 1797 760 441 596 256
mBackground 37 256 28718 31005 2287 29543 31448 1905 818 400 687 256
mBackground 34 256 28717 31226 2509 29508 31731 2223 997 401 825 256
mBackground 30 256 28716 31568 2852 29513 32094 2581 799 521 1261 256
mImgtbl 40 256 31577 35609 4032 32177 35857 3680 3114 401 165 256
mAdd 41 256 35618 45126 9508 36252 45573 9321 4540 1241 3540 256
mShrink 42 256 45132 47787 2655 45775 47638 1863 637 642 584 256
mJPEG 43 256 47790 50362 2572 48380 50807 2427 532 1664 231 256
mProjectPP 2 256 5 5762 5757 869 6130 5261 350 4283 628 256
mProjectPP 6 256 7 5765 5758 913 6136 5223 337 4281 605 256
mProjectPP 9 256 34 5765 5731 898 6137 5239 378 4243 618 256
mProjectPP 10 256 34 5766 5732 840 6188 5348 389 4303 656 256
mProjectPP 8 256 33 5808 5775 900 6311 5411 397 4242 772 256
mProjectPP 4 256 6 5896 5890 934 6440 5506 409 4221 876 256
mProjectPP 7 256 33 5910 5877 916 6434 5518 374 4380 764 256
mProjectPP 5 256 7 6030 6023 995 6535 5540 418 4343 779 256
mProjectPP 3 256 6 6067 6061 1084 6620 5536 439 4360 737 256
mProjectPP 1 256 0 6070 6070 1052 6597 5545 397 4400 748 256
