task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mProjectPP 2 2560 5 1717 1712 798 2044 1246 267 533 446 sdbcs
mProjectPP 3 1536 6 1720 1714 814 2191 1377 275 675 427 sdbcs
mProjectPP 4 1536 25 1720 1695 792 2198 1406 310 688 408 sdbcs
mProjectPP 8 1536 29 1724 1695 817 2239 1422 271 685 466 sdbcs
mProjectPP 9 1536 30 1737 1707 832 2263 1431 243 705 483 sdbcs
mProjectPP 6 1536 26 1738 1712 996 2435 1439 267 697 475 sdbcs
mProjectPP 7 1536 29 1749 1720 808 2258 1450 349 672 429 sdbcs
mProjectPP 5 1536 26 1760 1734 869 2326 1457 303 685 469 sdbcs
mProjectPP 10 1536 30 1767 1737 835 2298 1463 330 712 421 sdbcs
mProjectPP 1 1024 0 2316 2316 884 2615 1731 291 1034 406 sdbcs
mDiffFit 19 1536 1773 2666 893 2557 3265 708 380 62 266 sdbcs
mDiffFit 24 1536 1741 2668 927 2363 3127 764 407 83 274 sdbcs
mDiffFit 23 1536 1757 2669 912 2405 3175 770 447 65 258 sdbcs
mDiffFit 15 1024 1734 2669 935 2355 3156 801 459 84 258 sdbcs
mDiffFit 17 1024 1770 2670 900 2405 3167 762 430 83 249 sdbcs
mDiffFit 18 1536 1733 2671 938 2369 3164 795 438 121 236 sdbcs
mDiffFit 14 1024 1730 2672 942 2343 3195 852 556 69 227 sdbcs
mDiffFit 27 1024 1777 2703 926 2401 3234 833 465 100 268 sdbcs
mDiffFit 21 1536 1770 2706 936 2409 3191 782 399 121 262 sdbcs
mDiffFit 26 1536 1776 2721 945 2434 3254 820 457 114 249 sdbcs
mDiffFit 20 1536 1756 2739 983 2403 3265 862 481 96 285 sdbcs
mDiffFit 16 1024 1730 2809 1079 2379 3331 952 438 185 329 sdbcs
mDiffFit 22 1536 1768 2946 1178 2678 3453 775 497 50 228 sdbcs
mDiffFit 12 2560 2325 4469 2144 2981 3689 708 342 62 304 sdbcs
mDiffFit 11 1536 2330 4471 2141 2768 3541 773 412 116 245 sdbcs
mDiffFit 13 1536 2330 4472 2142 3015 3831 816 366 98 352 sdbcs
mDiffFit 25 256 1754 4473 2719 2382 4661 2279 1605 324 350 sdbcs
mConcatFit 28 512 4488 5997 1509 5067 6140 1073 417 499 157 sdbcs
mBgModel 29 2048 6000 8153 2153 6632 8604 1972 135 1691 146 sdbcs
mBackground 33 512 8170 9383 1213 8822 9847 1025 384 162 479 sdbcs
mBackground 32 512 8163 9384 1221 8753 9801 1048 391 161 496 sdbcs
