task id resource request_start request_end request_duration type
mProjectPP 9 1536 29 1749 1720 sdbcs 
mProjectPP 5 1536 16 1708 1692 sdbcs 
mProjectPP 4 1536 15 1854 1839 sdbcs 
mProjectPP 8 1536 27 1741 1714 sdbcs 
mProjectPP 10 1536 34 1738 1704 sdbcs 
mProjectPP 6 1536 16 1802 1786 sdbcs 
mProjectPP 7 1536 26 1742 1716 sdbcs 
mProjectPP 1 1024 0 2074 2074 sdbcs 
mProjectPP 3 1536 11 1686 1675 sdbcs 
mProjectPP 2 2560 6 1654 1648 sdbcs 
mDiffFit 18 1536 1755 2854 1099 sdbcs 
mDiffFit 16 1024 1872 2962 1090 sdbcs 
mDiffFit 12 2560 2087 3313 1226 sdbcs 
mDiffFit 17 1024 1733 3455 1722 sdbcs 
mDiffFit 20 1536 1917 2978 1061 sdbcs 
mDiffFit 24 1536 1869 3047 1178 sdbcs 
mDiffFit 19 1536 1905 2931 1026 sdbcs 
mDiffFit 25 256 1806 5307 3501 sdbcs 
mDiffFit 26 1536 1768 2926 1158 sdbcs 
mDiffFit 15 1024 1756 3243 1487 sdbcs 
mDiffFit 13 1536 2091 3344 1253 sdbcs 
mDiffFit 11 1536 2093 3653 1560 sdbcs 
mDiffFit 14 1024 1704 2904 1200 sdbcs 
mDiffFit 22 1536 1761 3013 1252 sdbcs 
mDiffFit 23 1536 1872 3760 1888 sdbcs 
mDiffFit 21 1536 1848 2970 1122 sdbcs 
mDiffFit 27 1024 1800 3229 1429 sdbcs 
mConcatFit 28 512 5731 7204 1473 sdbcs 
mBgModel 29 2048 7210 9316 2106 sdbcs 
mBackground 32 512 9332 11099 1767 sdbcs 
mBackground 38 512 9333 10844 1511 sdbcs 
mBackground 30 256 9334 11499 2165 sdbcs 
mBackground 35 512 9334 10835 1501 sdbcs 
mBackground 37 512 9335 10863 1528 sdbcs 
mBackground 36 512 9335 11018 1683 sdbcs 
mBackground 31 512 9335 11256 1921 sdbcs 
mBackground 33 512 9338 11131 1793 sdbcs 
mBackground 39 512 9341 10848 1507 sdbcs 
mBackground 34 512 9343 10990 1647 sdbcs 
mImgtbl 40 512 11848 14055 2207 sdbcs 
mAdd 41 512 14064 18507 4443 sdbcs 
mShrink 42 256 18511 20534 2023 sdbcs 
mJPEG 43 256 20537 23410 2873 sdbcs 
