task id resource request_start request_end request_duration type
mProjectPP 9 1536 28 2323 2295 sdbcs 
mProjectPP 5 1536 15 1877 1862 sdbcs 
mProjectPP 4 1536 15 1717 1702 sdbcs 
mProjectPP 8 1536 23 2057 2034 sdbcs 
mProjectPP 10 1536 35 2088 2053 sdbcs 
mProjectPP 6 1536 16 2065 2049 sdbcs 
mProjectPP 7 1536 16 1849 1833 sdbcs 
mProjectPP 1 1024 0 2445 2445 sdbcs 
mProjectPP 3 1536 6 1988 1982 sdbcs 
mProjectPP 2 2560 6 1524 1518 sdbcs 
mDiffFit 18 1536 2097 3269 1172 sdbcs 
mDiffFit 16 1024 2038 3519 1481 sdbcs 
mDiffFit 12 2560 2459 3489 1030 sdbcs 
mDiffFit 17 1024 2016 3471 1455 sdbcs 
mDiffFit 20 1536 1896 2976 1080 sdbcs 
mDiffFit 24 1536 2356 3411 1055 sdbcs 
mDiffFit 19 1536 1900 3074 1174 sdbcs 
mDiffFit 25 256 2394 4811 2417 sdbcs 
mDiffFit 26 1536 2108 3341 1233 sdbcs 
mDiffFit 15 1024 2110 3640 1530 sdbcs 
mDiffFit 13 1536 2644 3826 1182 sdbcs 
mDiffFit 11 1536 2460 3527 1067 sdbcs 
mDiffFit 14 1024 2030 3523 1493 sdbcs 
mDiffFit 22 1536 2061 3047 986 sdbcs 
mDiffFit 23 1536 2092 3109 1017 sdbcs 
mDiffFit 21 1536 2278 3339 1061 sdbcs 
mDiffFit 27 1024 2343 3910 1567 sdbcs 
mConcatFit 28 512 4946 6636 1690 sdbcs 
mBgModel 29 2048 6641 8741 2100 sdbcs 
mBackground 32 512 8762 10190 1428 sdbcs 
mBackground 38 512 8771 10377 1606 sdbcs 
mBackground 30 256 8755 11099 2344 sdbcs 
mBackground 35 512 8763 10131 1368 sdbcs 
mBackground 37 512 8766 10292 1526 sdbcs 
mBackground 36 512 8766 10136 1370 sdbcs 
mBackground 31 512 8761 10147 1386 sdbcs 
mBackground 33 512 8762 10200 1438 sdbcs 
mBackground 39 512 8772 10163 1391 sdbcs 
mBackground 34 512 8762 10243 1481 sdbcs 
mImgtbl 40 512 11424 13553 2129 sdbcs 
mAdd 41 512 13561 17816 4255 sdbcs 
mShrink 42 256 17821 20231 2410 sdbcs 
mJPEG 43 256 20234 23119 2885 sdbcs 
