task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mProjectPP 4 256 7 8684 8677 2112 8347 6235 1101 4361 773 256
mProjectPP 3 256 7 8689 8682 2138 8510 6372 1088 4442 842 256
mProjectPP 9 256 37 8689 8652 2267 8594 6327 1069 4422 836 256
mProjectPP 7 256 9 8690 8681 2175 8515 6340 1148 4382 810 256
mProjectPP 10 256 38 8690 8652 2205 8545 6340 1031 4463 846 256
mProjectPP 2 256 6 8691 8685 2241 8634 6393 1087 4499 807 256
mProjectPP 5 256 7 8691 8684 2175 8656 6481 1143 4502 836 256
mProjectPP 6 256 8 8692 8684 2174 8641 6467 1078 4560 829 256
mProjectPP 1 256 0 8693 8693 2228 8665 6437 1115 4502 820 256
mProjectPP 8 256 9 8693 8684 2186 8779 6593 1192 4561 840 256
mDiffFit 25 256 8719 12803 4084 9371 12633 3262 2467 522 273 256
mDiffFit 15 256 8741 12804 4063 9372 12664 3292 2304 698 290 256
mDiffFit 17 256 8723 12805 4082 9386 12698 3312 2485 485 342 256
mDiffFit 22 256 8723 12806 4083 9395 12719 3324 2528 444 352 256
mDiffFit 11 256 8737 12809 4072 9467 12891 3424 2409 683 332 256
mDiffFit 12 256 8738 12809 4071 9398 12852 3454 2440 700 314 256
mDiffFit 24 256 8736 12811 4075 9380 12870 3490 2385 722 383 256
mDiffFit 13 256 8738 12811 4073 9400 12955 3555 2507 719 329 256
mDiffFit 21 256 8737 12812 4075 9440 13012 3572 2348 844 380 256
mDiffFit 20 256 8721 12812 4091 9421 13065 3644 2556 721 367 256
mDiffFit 14 256 8722 14263 5541 10252 14802 4550 3711 518 321 256
mDiffFit 23 256 8724 14389 5665 10188 14957 4769 3889 541 339 256
mDiffFit 16 256 8718 14502 5784 10139 15060 4921 3859 721 341 256
mDiffFit 19 256 8724 14533 5809 10317 15074 4757 3901 521 335 256
mDiffFit 18 256 8750 14582 5832 10184 15134 4950 3712 861 377 256
mDiffFit 27 256 8722 14619 5897 10127 15109 4982 3946 719 317 256
mDiffFit 26 256 8721 15166 6445 10220 15411 5191 3932 901 358 256
mConcatFit 28 256 15177 17313 2136 15832 17769 1937 740 1003 194 256
mBgModel 29 256 17317 30825 13508 18010 31387 13377 133 13109 135 256
mBackground 37 256 30852 33187 2335 31617 33349 1732 600 403 729 256
mBackground 32 256 30840 33189 2349 31572 33583 2011 1005 420 586 256
mBackground 36 256 30842 33191 2349 31538 33595 2057 840 420 797 256
mBackground 31 256 30839 33193 2354 31511 33620 2109 941 420 748 256
mBackground 33 256 30840 33194 2354 31471 33575 2104 920 401 783 256
mBackground 38 256 30856 33195 2339 31767 33689 1922 799 401 722 256
mBackground 30 256 30839 33196 2357 31514 33714 2200 958 384 858 256
mBackground 34 256 30841 33247 2406 31542 33790 2248 937 561 750 256
mBackground 35 256 30841 33260 2419 31768 33861 2093 879 541 673 256
mBackground 39 256 30857 33335 2478 31558 33886 2328 979 402 947 256
mImgtbl 40 256 33342 39101 5759 34052 39660 5608 5165 261 182 256
mAdd 41 256 39108 46710 7602 39780 47272 7492 5317 1182 993 256
mShrink 42 256 46713 49571 2858 47379 49449 2070 859 623 588 256
mJPEG 43 256 49576 52641 3065 50204 52790 2586 535 1839 212 256
mProjectPP 10 256 37 5466 5429 762 6023 5261 343 4303 615 256
mProjectPP 6 256 8 5701 5693 957 6262 5305 477 4221 607 256
mProjectPP 9 256 10 5801 5791 827 6346 5519 660 4259 600 256
mProjectPP 7 256 9 5924 5915 899 6527 5628 496 4282 850 256
mProjectPP 4 256 6 5978 5972 902 6529 5627 498 4442 687 256
mProjectPP 5 256 8 6059 6051 889 6599 5710 457 4521 732 256
mProjectPP 1 256 0 6106 6106 948 6626 5678 379 4403 896 256
mProjectPP 3 256 6 6119 6113 860 6611 5751 379 4680 692 256
mProjectPP 8 256 9 6150 6141 968 6731 5763 437 4580 746 256
mProjectPP 2 256 5 6220 6215 983 6752 5769 419 4581 769 256
mDiffFit 27 256 5812 8455 2643 6483 9022 2539 1703 502 334 256
mDiffFit 26 256 5938 8526 2588 6571 9086 2515 1416 702 397 256
mDiffFit 25 256 5936 8706 2770 6568 9268 2700 1888 501 311 256
mDiffFit 23 256 5939 8709 2770 6557 9260 2703 2023 343 337 256
mDiffFit 17 256 6128 8994 2866 6773 9557 2784 2130 339 315 256
mDiffFit 22 256 6069 9089 3020 6753 9667 2914 2312 304 298 256
mDiffFit 12 256 6130 9099 2969 6752 9640 2888 2215 379 294 256
mDiffFit 20 256 5988 9161 3173 6633 9688 3055 2197 538 320 256
mDiffFit 24 256 5813 9174 3361 6539 9779 3240 2257 582 401 256
mDiffFit 19 256 6071 9242 3171 6669 9723 3054 2211 341 502 256
mDiffFit 14 256 6229 9387 3158 7044 9899 2855 2097 480 278 256
mDiffFit 18 256 6160 9580 3420 7120 10124 3004 1979 685 340 256
mDiffFit 21 256 6068 9663 3595 6972 10207 3235 2359 505 371 256
mDiffFit 13 256 6112 9709 3597 6964 10272 3308 2260 562 486 256
mDiffFit 15 256 6233 9775 3542 7167 10317 3150 2259 561 330 256
mDiffFit 16 256 6127 9835 3708 7085 10465 3380 2478 525 377 256
mDiffFit 11 256 6234 10780 4546 7075 11345 4270 3416 522 332 256
mConcatFit 28 256 10786 12744 1958 11421 13304 1883 711 981 191 256
mBgModel 29 256 12750 26066 13316 13379 26626 13247 122 12850 275 256
mBackground 38 256 26092 28183 2091 26801 28515 1714 685 400 629 256
mBackground 30 256 26083 28184 2101 26809 28596 1787 562 442 783 256
mBackground 39 256 26094 28185 2091 26831 28586 1755 676 301 778 256
mBackground 36 256 26085 28187 2102 26800 28635 1835 739 321 775 256
mBackground 33 256 26084 28310 2226 26843 28860 2017 1046 372 599 256
mBackground 32 256 26084 28357 2273 26878 28985 2107 1145 401 561 256
mBackground 35 256 26085 28387 2302 26954 28930 1976 857 381 738 256
mBackground 37 256 26091 28418 2327 26822 28951 2129 679 363 1087 256
mBackground 34 256 26085 28588 2503 26985 29132 2147 979 401 767 256
mBackground 31 256 26084 28738 2654 26894 29342 2448 1361 361 726 256
mImgtbl 40 256 28745 32056 3311 29414 32657 3243 2821 241 181 256
mAdd 41 256 32065 48013 15948 38516 48596 10080 7921 1139 1020 256
mShrink 42 256 48018 50114 2096 48738 50717 1979 697 565 717 256
mJPEG 43 256 50119 53175 3056 50814 53519 2705 781 1703 221 256
