task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mProjectPP 9 1024 32 1890 1858 721 2446 1725 264 1010 451 sdbws
mProjectPP 5 1024 7 1928 1921 702 2469 1767 281 1022 464 sdbws
mProjectPP 8 1024 8 1931 1923 713 2484 1771 287 1032 452 sdbws
mProjectPP 6 1024 7 1946 1939 616 2403 1787 263 1039 485 sdbws
mProjectPP 2 1024 6 1968 1962 695 2509 1814 327 1029 458 sdbws
mProjectPP 7 1024 8 1977 1969 686 2507 1821 271 1013 537 sdbws
mProjectPP 4 1024 7 2006 1999 710 2559 1849 379 1012 458 sdbws
mProjectPP 10 1024 33 2019 1986 678 2538 1860 284 1058 518 sdbws
mDiffFit 26 1536 2026 3442 1416 2733 3484 751 361 97 293 sdbws
mDiffFit 15 1024 1980 3444 1464 2622 3476 854 473 128 253 sdbws
mDiffFit 20 1536 2018 3445 1427 2710 3509 799 391 84 324 sdbws
mProjectPP 1 1024 0 3446 3446 1700 3752 2052 485 1080 487 sdbws
mProjectPP 3 1024 6 3447 3441 1855 3885 2030 461 1064 505 sdbws
mDiffFit 24 512 1956 3449 1493 2649 3948 1299 698 263 338 sdbws
mDiffFit 23 512 1990 3449 1459 2720 3947 1227 758 184 285 sdbws
mDiffFit 21 512 1958 3450 1492 2592 3973 1381 839 263 279 sdbws
mDiffFit 19 512 2015 3452 1437 2626 3895 1269 718 281 270 sdbws
mDiffFit 25 512 1988 3459 1471 2717 4018 1301 795 258 248 sdbws
mDiffFit 22 512 1989 3856 1867 2711 4345 1634 1142 242 250 sdbws
mDiffFit 27 512 2027 3938 1911 2747 4494 1747 1280 184 283 sdbws
mDiffFit 18 1024 3469 4496 1027 4108 5016 908 432 177 299 sdbws
mDiffFit 17 1024 3469 4671 1202 4145 5229 1084 741 129 214 sdbws
mDiffFit 14 1024 3479 4719 1240 4148 5283 1135 773 119 243 sdbws
mDiffFit 12 1024 3477 4782 1305 4172 5334 1162 805 82 275 sdbws
