task id resource request_start request_end request_duration type
mProjectPP 1 1024 0 2652 2652 sdbws 
mProjectPP 2 1024 13 2354 2341 sdbws 
mProjectPP 3 1024 14 2692 2678 sdbws 
mProjectPP 4 1024 19 2364 2345 sdbws 
mProjectPP 5 1024 19 2377 2358 sdbws 
mProjectPP 6 1024 19 2352 2333 sdbws 
mProjectPP 7 1024 20 2358 2338 sdbws 
mProjectPP 8 1024 27 2349 2322 sdbws 
mProjectPP 9 1024 32 2342 2310 sdbws 
mProjectPP 10 1024 35 2366 2331 sdbws 
mDiffFit 11 256 2677 5392 2715 sdbws 
mDiffFit 12 1024 2720 3937 1217 sdbws 
mDiffFit 13 512 2706 4194 1488 sdbws 
mDiffFit 14 1024 2719 3913 1194 sdbws 
mDiffFit 15 1024 2379 3648 1269 sdbws 
mDiffFit 16 512 2712 4326 1614 sdbws 
mDiffFit 17 1024 2740 3926 1186 sdbws 
mDiffFit 18 1024 2716 3922 1206 sdbws 
mDiffFit 19 512 2419 4546 2127 sdbws 
mDiffFit 20 1536 2386 3636 1250 sdbws 
mDiffFit 21 512 2401 4185 1784 sdbws 
mDiffFit 22 512 2408 3870 1462 sdbws 
mDiffFit 23 512 2379 3885 1506 sdbws 
mDiffFit 24 512 2376 4122 1746 sdbws 
mDiffFit 25 512 2383 3892 1509 sdbws 
mDiffFit 26 1536 2386 3652 1266 sdbws 
mDiffFit 27 512 2390 4587 2197 sdbws 
mConcatFit 28 512 6073 7547 1474 sdbws 
mBgModel 29 1024 7552 11246 3694 sdbws 
mBackground 30 256 11263 13055 1792 sdbws 
mBackground 31 256 11264 13196 1932 sdbws 
mBackground 32 256 11264 13051 1787 sdbws 
mBackground 33 512 11265 12575 1310 sdbws 
mBackground 34 256 11266 13127 1861 sdbws 
mBackground 35 512 11266 12549 1283 sdbws 
mBackground 36 256 11269 13401 2132 sdbws 
mBackground 37 512 11271 12660 1389 sdbws 
mBackground 38 256 11273 13155 1882 sdbws 
mBackground 39 256 11275 13025 1750 sdbws 
mImgtbl 40 256 13662 17398 3736 sdbws 
mAdd 41 1024 17407 20383 2976 sdbws 
mShrink 42 256 20388 23084 2696 sdbws 
mJPEG 43 256 23088 26166 3078 sdbws 
