task id resource request_start request_end request_duration type
mProjectPP 1 1024 0 2296 2296 sdbws 
mProjectPP 2 1024 11 2687 2676 sdbws 
mProjectPP 3 1024 11 2146 2135 sdbws 
mProjectPP 4 1024 16 2147 2131 sdbws 
mProjectPP 5 1024 22 2713 2691 sdbws 
mProjectPP 6 1024 22 2334 2312 sdbws 
mProjectPP 7 1024 22 2200 2178 sdbws 
mProjectPP 8 1024 24 2731 2707 sdbws 
mProjectPP 9 1024 30 2811 2781 sdbws 
mProjectPP 10 1024 37 2730 2693 sdbws 
mDiffFit 11 256 2722 5952 3230 sdbws 
mDiffFit 12 1024 2330 3595 1265 sdbws 
mDiffFit 13 512 2758 4793 2035 sdbws 
mDiffFit 14 1024 2702 3901 1199 sdbws 
mDiffFit 15 1024 2748 3939 1191 sdbws 
mDiffFit 16 512 2182 4353 2171 sdbws 
mDiffFit 17 1024 2729 3884 1155 sdbws 
mDiffFit 18 1024 2747 3996 1249 sdbws 
mDiffFit 19 512 2777 4689 1912 sdbws 
mDiffFit 20 1536 2250 3267 1017 sdbws 
mDiffFit 21 512 2778 4692 1914 sdbws 
mDiffFit 22 512 2777 4462 1685 sdbws 
mDiffFit 23 512 2354 4362 2008 sdbws 
mDiffFit 24 512 2827 4899 2072 sdbws 
mDiffFit 25 512 2846 4739 1893 sdbws 
mDiffFit 26 1536 2760 3816 1056 sdbws 
mDiffFit 27 512 2825 4679 1854 sdbws 
mConcatFit 28 512 6581 7833 1252 sdbws 
mBgModel 29 1024 7843 11490 3647 sdbws 
mBackground 30 256 11505 13479 1974 sdbws 
mBackground 31 256 11506 13642 2136 sdbws 
mBackground 32 256 11506 13485 1979 sdbws 
mBackground 33 512 11510 12763 1253 sdbws 
mBackground 34 256 11507 13692 2185 sdbws 
mBackground 35 512 11512 12817 1305 sdbws 
mBackground 36 256 11508 13600 2092 sdbws 
mBackground 37 512 11516 12896 1380 sdbws 
mBackground 38 256 11517 13424 1907 sdbws 
mBackground 39 256 11519 13463 1944 sdbws 
mImgtbl 40 256 13997 17851 3854 sdbws 
mAdd 41 1024 17863 20206 2343 sdbws 
mShrink 42 256 20211 22427 2216 sdbws 
mJPEG 43 256 22432 25288 2856 sdbws 
