task id resource start end time type
mProjectPP 1 1024 0 2208 2208 dbws 
mProjectPP 3 512 0 3527 3527 dbws 
mProjectPP 4 1024 0 2254 2254 dbws 
mProjectPP 5 1024 0 2066 2066 dbws 
mProjectPP 6 1024 0 2095 2095 dbws 
mProjectPP 7 1024 0 2110 2110 dbws 
mProjectPP 8 1024 0 2107 2107 dbws 
mProjectPP 9 512 0 3866 3866 dbws 
mProjectPP 10 512 0 3466 3466 dbws 
mProjectPP 2 1024 0 2062 2062 dbws 
mDiffFit 11 1024 2208 3275 1067 dbws 
mDiffFit 12 256 3527 6186 2659 dbws 
mDiffFit 13 1024 2208 3812 1604 dbws 
mDiffFit 14 1024 3527 4377 850 dbws 
mDiffFit 15 1536 2107 2940 833 dbws 
mDiffFit 16 1024 3527 4431 904 dbws 
mDiffFit 17 1024 3527 4402 875 dbws 
mDiffFit 18 256 3527 6449 2922 dbws 
mDiffFit 19 1024 2254 3264 1010 dbws 
mDiffFit 20 256 2254 5032 2778 dbws 
mDiffFit 21 512 2095 3541 1446 dbws 
mDiffFit 22 1536 2110 2879 769 dbws 
mDiffFit 23 1024 2110 3131 1021 dbws 
mDiffFit 24 1024 3866 4807 941 dbws 
mDiffFit 25 1024 3866 4737 871 dbws 
mDiffFit 26 512 3466 5305 1839 dbws 
mDiffFit 27 1536 3866 4630 764 dbws 
mConcatFit 28 512 6449 7441 992 dbws 
mBgModel 29 1024 7441 10594 3153 dbws 
mBackground 30 512 10594 12090 1496 dbws 
mBackground 31 256 10594 13398 2804 dbws 
mBackground 32 512 10594 12117 1523 dbws 
mBackground 33 256 10594 12326 1732 dbws 
mBackground 34 512 10594 12167 1573 dbws 
mBackground 35 256 10594 13165 2571 dbws 
mBackground 36 256 10594 12773 2179 dbws 
mBackground 37 256 10594 12651 2057 dbws 
mBackground 38 1024 10594 11663 1069 dbws 
mBackground 39 512 10594 12180 1586 dbws 
mImgtbl 40 512 13398 15115 1717 dbws 
mAdd 41 512 15115 19198 4083 dbws 
mShrink 42 256 19198 21595 2397 dbws 
mJPEG 43 256 21595 24087 2492 dbws 
