task id resource start end time type
mProjectPP 1 1024 0 2002 2002 dbws 
mProjectPP 3 1024 0 1950 1950 dbws 
mProjectPP 4 1024 0 1985 1985 dbws 
mProjectPP 5 2048 0 1313 1313 dbws 
mProjectPP 6 2048 0 1357 1357 dbws 
mProjectPP 7 1024 0 1861 1861 dbws 
mProjectPP 8 1536 0 1476 1476 dbws 
mProjectPP 9 1024 0 2050 2050 dbws 
mProjectPP 10 1024 0 1821 1821 dbws 
mProjectPP 2 2048 0 1339 1339 dbws 
mDiffFit 11 1024 2002 3094 1092 dbws 
mDiffFit 12 1024 2002 3488 1486 dbws 
mDiffFit 13 512 2002 4035 2033 dbws 
mDiffFit 14 1024 1950 3032 1082 dbws 
mDiffFit 15 1024 1476 2612 1136 dbws 
mDiffFit 16 1024 1985 3242 1257 dbws 
mDiffFit 17 1024 1950 3286 1336 dbws 
mDiffFit 18 1024 1950 3125 1175 dbws 
mDiffFit 19 1024 1985 3230 1245 dbws 
mDiffFit 20 512 1985 3890 1905 dbws 
mDiffFit 21 1536 1357 2514 1157 dbws 
mDiffFit 22 256 1861 5055 3194 dbws 
mDiffFit 23 512 1861 4145 2284 dbws 
mDiffFit 24 1024 2050 3092 1042 dbws 
mDiffFit 25 1024 2050 3271 1221 dbws 
mDiffFit 26 1024 1861 3048 1187 dbws 
mDiffFit 27 1024 2050 3208 1158 dbws 
mConcatFit 28 512 5055 6001 946 dbws 
mBgModel 29 1024 6001 9370 3369 dbws 
mBackground 30 512 9370 10934 1564 dbws 
mBackground 31 256 9370 11956 2586 dbws 
mBackground 32 512 9370 10974 1604 dbws 
mBackground 33 512 9370 10944 1574 dbws 
mBackground 34 512 9370 11092 1722 dbws 
mBackground 35 512 9370 11143 1773 dbws 
mBackground 36 512 9370 10841 1471 dbws 
mBackground 37 512 9370 10952 1582 dbws 
mBackground 38 512 9370 11028 1658 dbws 
mBackground 39 256 9370 11826 2456 dbws 
mImgtbl 40 512 11956 13978 2022 dbws 
mAdd 41 512 13978 19116 5138 dbws 
mShrink 42 512 19116 20672 1556 dbws 
mJPEG 43 256 20672 23076 2404 dbws 
