task id resource start end time type
mProjectPP 1 1536 0 2109 2109 dbws 
mProjectPP 3 1536 0 1984 1984 dbws 
mProjectPP 4 1536 0 2110 2110 dbws 
mProjectPP 5 1536 0 2111 2111 dbws 
mProjectPP 6 1536 0 1904 1904 dbws 
mProjectPP 7 1536 0 2231 2231 dbws 
mProjectPP 8 1536 0 2549 2549 dbws 
mProjectPP 9 1536 0 2128 2128 dbws 
mProjectPP 10 1536 0 2447 2447 dbws 
mProjectPP 2 1536 0 2263 2263 dbws 
mDiffFit 11 1536 2263 4043 1780 dbws 
mDiffFit 12 1536 2109 3926 1817 dbws 
mDiffFit 13 1536 2111 4921 2810 dbws 
mDiffFit 14 1536 2263 3849 1586 dbws 
mDiffFit 15 1536 2549 4071 1522 dbws 
mDiffFit 16 1536 2110 3876 1766 dbws 
mDiffFit 17 1536 2111 3714 1603 dbws 
mDiffFit 18 1536 2549 4607 2058 dbws 
mDiffFit 19 1536 2111 5309 3198 dbws 
mDiffFit 20 1536 2231 4313 2082 dbws 
mDiffFit 21 1536 2111 3525 1414 dbws 
mDiffFit 22 1536 2231 5077 2846 dbws 
mDiffFit 23 1536 2231 3905 1674 dbws 
mDiffFit 24 1536 2128 4954 2826 dbws 
mDiffFit 25 1536 2231 4256 2025 dbws 
mDiffFit 26 1536 2447 5380 2933 dbws 
mDiffFit 27 1536 2447 4820 2373 dbws 
mConcatFit 28 1536 5380 5836 456 dbws 
mBgModel 29 1536 5836 8047 2211 dbws 
mBackground 30 1536 8047 9501 1454 dbws 
mBackground 31 1536 8047 10578 2531 dbws 
mBackground 32 1536 8047 11285 3238 dbws 
mBackground 33 1536 8047 10594 2547 dbws 
mBackground 34 1536 8047 9527 1480 dbws 
mBackground 35 1536 8047 9574 1527 dbws 
mBackground 36 1536 8047 9559 1512 dbws 
mBackground 37 1536 8047 10113 2066 dbws 
mBackground 38 1536 8047 9483 1436 dbws 
mBackground 39 1536 8047 10139 2092 dbws 
mImgtbl 40 1536 11285 14369 3084 dbws 
mAdd 41 1536 14369 20043 5674 dbws 
mShrink 42 1536 20043 23417 3374 dbws 
mJPEG 43 1536 23417 25195 1778 dbws 
