task id resource start end time type
mProjectPP 10 3008 1544694708680 1544694710463 1783 3008
mProjectPP 7 3008 1544694708709 1544694710481 1772 3008
mProjectPP 2 3008 1544694708689 1544694710521 1832 3008
mProjectPP 5 3008 1544694708702 1544694710544 1842 3008
mProjectPP 9 3008 1544694708720 1544694710554 1834 3008
mProjectPP 1 3008 1544694708733 1544694710735 2002 3008
mProjectPP 3 3008 1544694708692 1544694710919 2227 3008
mProjectPP 8 3008 1544694708725 1544694710954 2229 3008
mProjectPP 4 3008 1544694708678 1544694710980 2302 3008
mProjectPP 6 3008 1544694708654 1544694711116 2462 3008
mDiffFit 27 3008 1544694710824 1544694712126 1302 3008
mDiffFit 26 3008 1544694710841 1544694712197 1356 3008
mDiffFit 25 3008 1544694710839 1544694712269 1430 3008
mDiffFit 13 3008 1544694710865 1544694712437 1572 3008
mDiffFit 11 3008 1544694710891 1544694712514 1623 3008
mDiffFit 22 3008 1544694710822 1544694712529 1707 3008
mDiffFit 16 3008 1544694711122 1544694712557 1435 3008
mDiffFit 24 3008 1544694711333 1544694712564 1231 3008
mDiffFit 17 3008 1544694711135 1544694712617 1482 3008
mDiffFit 18 3008 1544694711144 1544694712634 1490 3008
mDiffFit 23 3008 1544694711308 1544694712792 1484 3008
mDiffFit 14 3008 1544694711077 1544694712811 1734 3008
mDiffFit 20 3008 1544694711141 1544694712832 1691 3008
mDiffFit 19 3008 1544694711170 1544694713220 2050 3008
mDiffFit 15 3008 1544694711086 1544694713404 2318 3008
mDiffFit 12 3008 1544694711067 1544694713857 2790 3008
mDiffFit 21 3008 1544694711268 1544694713950 2682 3008
mConcatFit 28 3008 1544694714166 1544694714604 438 3008
mBgModel 29 3008 1544694714866 1544694717004 2138 3008
mBackground 36 3008 1544694717198 1544694718475 1277 3008
mBackground 37 3008 1544694717177 1544694718488 1311 3008
mBackground 35 3008 1544694717168 1544694718535 1367 3008
mBackground 38 3008 1544694717193 1544694718582 1389 3008
mBackground 31 3008 1544694717163 1544694718721 1558 3008
mBackground 39 3008 1544694717176 1544694718727 1551 3008
mBackground 32 3008 1544694717210 1544694718761 1551 3008
mBackground 34 3008 1544694717154 1544694718935 1781 3008
mBackground 30 3008 1544694717159 1544694719471 2312 3008
mBackground 33 3008 1544694717170 1544694719659 2489 3008
mImgtbl 40 3008 1544694719780 1544694724988 5208 3008
mAdd 41 3008 1544694725177 1544694730935 5758 3008
mShrink 42 3008 1544694731109 1544694733694 2585 3008
mJPEG 43 3008 1544694733860 1544694735866 2006 3008
