task id resource start end time type
mProjectPP 3 3008 1544694795347 1544694796997 1650 real
mProjectPP 7 3008 1544694795343 1544694797054 1711 real
mProjectPP 8 3008 1544694795337 1544694797108 1771 real
mProjectPP 9 3008 1544694795346 1544694797109 1763 real
mProjectPP 10 3008 1544694795331 1544694797178 1847 real
mProjectPP 6 3008 1544694795353 1544694797243 1890 real
mProjectPP 2 3008 1544694795321 1544694797346 2025 real
mProjectPP 5 3008 1544694795354 1544694797434 2080 real
mProjectPP 4 3008 1544694795344 1544694797740 2396 real
mDiffFit 23 3008 1544694797395 1544694798597 1202 real
mDiffFit 18 3008 1544694797233 1544694798717 1484 real
mDiffFit 24 3008 1544694797398 1544694798920 1522 real
mDiffFit 22 3008 1544694797601 1544694799066 1465 real
mDiffFit 15 3008 1544694797469 1544694799169 1700 real
mDiffFit 21 3008 1544694797596 1544694799251 1655 real
mDiffFit 19 3008 1544694797920 1544694799308 1388 real
mProjectPP 1 3008 1544694795267 1544694799414 4147 real
mDiffFit 20 3008 1544694797940 1544694799678 1738 real
mDiffFit 14 3008 1544694797460 1544694799874 2414 real
mDiffFit 25 3008 1544694797223 1544694799971 2748 real
mDiffFit 27 3008 1544694797360 1544694799994 2634 real
mDiffFit 16 3008 1544694797864 1544694800485 2621 real
mDiffFit 12 3008 1544694799603 1544694800764 1161 real
mDiffFit 26 3008 1544694797359 1544694800957 3598 real
mDiffFit 11 3008 1544694799572 1544694800953 1381 real
mDiffFit 17 3008 1544694797571 1544694801398 3827 real
mDiffFit 13 3008 1544694799567 1544694803536 3969 real
mConcatFit 28 3008 1544694803867 1544694804342 475 real
mBgModel 29 3008 1544694804569 1544694806596 2027 real
mBackground 37 3008 1544694806793 1544694807942 1149 real
mBackground 38 3008 1544694806855 1544694808057 1202 real
mBackground 34 3008 1544694806808 1544694808107 1299 real
mBackground 31 3008 1544694806801 1544694808176 1375 real
mBackground 39 3008 1544694806837 1544694808183 1346 real
mBackground 30 3008 1544694806809 1544694808302 1493 real
mBackground 35 3008 1544694806806 1544694808567 1761 real
mBackground 36 3008 1544694806757 1544694808686 1929 real
mBackground 33 3008 1544694806812 1544694808707 1895 real
mBackground 32 3008 1544694806810 1544694809876 3066 real
mImgtbl 40 3008 1544694809991 1544694813150 3159 real
mAdd 41 3008 1544694813417 1544694819739 6322 real
mShrink 42 3008 1544694820157 1544694823194 3037 real
mJPEG 43 3008 1544694823309 1544694826626 3317 real
