task id resource start end time downloaded executed uploaded type
mProjectPP 7 256 0 6389 6389 1119 4460 810 256
mProjectPP 5 256 75 6601 6526 1198 4465 863 256
mProjectPP 1 256 155 6537 6382 1064 4382 936 256
mProjectPP 10 256 303 6624 6321 1093 4440 788 256
mProjectPP 3 256 267 6738 6471 1090 4540 841 256
mProjectPP 9 256 360 6829 6469 1130 4519 820 256
mProjectPP 2 256 374 6747 6373 1099 4380 894 256
mProjectPP 6 256 454 6920 6466 1120 4483 863 256
mProjectPP 4 256 273 6885 6612 1060 4500 1052 256
mProjectPP 8 256 480 7098 6618 1132 4542 944 256
mDiffFit 22 256 6750 10085 3335 2387 623 325 256
mDiffFit 14 256 6977 10274 3297 2380 625 292 256
mDiffFit 17 256 6911 10264 3353 2583 500 270 256
mDiffFit 13 256 6840 10422 3582 2493 720 369 256
mDiffFit 11 256 6935 10344 3409 2421 683 305 256
mDiffFit 26 256 6756 10381 3625 2503 703 419 256
mDiffFit 27 256 6922 10505 3583 2751 540 292 256
mDiffFit 12 256 6954 10629 3675 2860 503 312 256
mDiffFit 20 256 7135 10670 3535 2339 861 335 256
mDiffFit 25 256 7011 11913 4902 3957 663 282 256
mDiffFit 16 256 8022 12656 4634 3477 722 435 256
mDiffFit 15 256 8135 12752 4617 3643 578 396 256
mDiffFit 19 256 8044 12764 4720 3818 541 361 256
mDiffFit 21 256 8070 12771 4701 3607 721 373 256
mDiffFit 23 256 7976 12811 4835 3993 520 322 256
mDiffFit 24 256 8058 12959 4901 3628 845 428 256
mDiffFit 18 256 8047 14008 5961 4860 700 401 256
mConcatFit 28 256 14408 16305 1897 721 1001 175 256
mBgModel 29 256 16430 29754 13324 157 13000 167 256
mBackground 32 256 30052 31852 1800 655 400 745 256
mBackground 39 256 30234 32065 1831 600 402 829 256
mBackground 36 256 30184 32159 1975 758 600 617 256
mBackground 35 256 30148 32197 2049 918 362 769 256
mBackground 33 256 30416 32289 1873 819 401 653 256
mBackground 31 256 30368 32428 2060 861 419 780 256
mBackground 34 256 30137 32387 2250 922 379 949 256
mBackground 37 256 30262 32375 2113 797 581 735 256
mBackground 30 256 30137 32447 2310 1010 544 756 256
mBackground 38 256 30433 32527 2094 899 401 794 256
mImgtbl 40 256 32686 36017 3331 2927 239 165 256
mAdd 41 256 42532 52891 10359 7601 1240 1518 256
mShrink 42 256 53233 55215 1982 699 561 722 256
mJPEG 43 256 55521 58007 2486 551 1701 234 256
mProjectPP 3 256 0 5255 5255 369 4302 584 256
mProjectPP 1 256 76 5435 5359 366 4400 593 256
mProjectPP 6 256 182 5580 5398 476 4302 620 256
mProjectPP 4 256 228 5615 5387 457 4302 628 256
mProjectPP 10 256 267 5644 5377 397 4320 660 256
mProjectPP 7 256 234 5840 5606 458 4421 727 256
mProjectPP 8 256 217 5861 5644 379 4564 701 256
mProjectPP 5 256 217 5874 5657 440 4541 676 256
mProjectPP 9 256 120 6113 5993 857 4380 756 256
mProjectPP 2 256 147 6631 6484 1399 4344 741 256
mDiffFit 12 256 5585 8149 2564 1717 560 287 256
mDiffFit 22 256 6236 8853 2617 1973 340 304 256
mDiffFit 16 256 5783 9082 3299 2202 720 377 256
mDiffFit 18 256 6259 9217 2958 1874 701 383 256
mDiffFit 27 256 6507 9191 2684 1860 541 283 256
mDiffFit 23 256 6169 9189 3020 2209 522 289 256
mDiffFit 21 256 6270 9307 3037 2155 523 359 256
mDiffFit 26 256 6219 9322 3103 2179 559 365 256
mDiffFit 13 256 6328 9434 3106 2191 543 372 256
mDiffFit 20 256 6251 9411 3160 2148 698 314 256
mDiffFit 17 256 6483 9468 2985 2341 303 341 256
mDiffFit 25 256 6624 9621 2997 2181 480 336 256
mDiffFit 19 256 6490 9627 3137 2480 342 315 256
mDiffFit 14 256 6888 9645 2757 2039 424 294 256
mDiffFit 24 256 6503 9835 3332 2459 525 348 256
mDiffFit 11 256 7109 10127 3018 2117 563 338 256
mDiffFit 15 256 7089 10239 3150 2339 361 450 256
mConcatFit 28 256 10371 12204 1833 656 1002 175 256
mBgModel 29 256 12465 25748 13283 132 12992 159 256
mBackground 32 256 27227 28831 1604 679 301 624 256
mBackground 37 256 27309 28914 1605 634 400 571 256
mBackground 33 256 27197 28862 1665 570 382 713 256
mBackground 35 256 27249 29022 1773 580 441 752 256
mBackground 34 256 27276 29039 1763 661 340 762 256
mBackground 39 256 27319 29094 1775 599 380 796 256
mBackground 31 256 27243 29163 1920 701 400 819 256
mBackground 36 256 27224 29230 2006 779 442 785 256
mBackground 38 256 27260 29295 2035 696 462 877 256
mBackground 30 256 27426 29855 2429 960 400 1069 256
mImgtbl 40 256 29966 33281 3315 2902 221 192 256
mAdd 41 256 33589 41530 7941 5897 1162 882 256
mShrink 42 256 41869 43873 2004 657 563 784 256
mJPEG 43 256 44131 46533 2402 515 1642 245 256
mProjectPP 1 256 50 5289 5239 415 4224 600 256
mProjectPP 7 256 40 5281 5241 436 4180 625 256
mProjectPP 4 256 0 5251 5251 422 4201 628 256
mProjectPP 2 256 88 5371 5283 390 4280 613 256
mProjectPP 10 256 143 5395 5252 419 4220 613 256
mProjectPP 5 256 39 5350 5311 362 4281 668 256
mProjectPP 9 256 52 5368 5316 454 4260 602 256
mProjectPP 3 256 46 5398 5352 429 4162 761 256
mProjectPP 8 256 105 5658 5553 380 4182 991 256
mProjectPP 6 256 43 6375 6332 387 4220 1725 256
mDiffFit 25 256 5720 7923 2203 1439 502 262 256
mDiffFit 22 256 5737 7960 2223 1588 338 297 256
mDiffFit 14 256 5826 7980 2154 1559 323 272 256
mDiffFit 19 256 5705 8010 2305 1471 503 331 256
mDiffFit 17 256 5810 8038 2228 1415 502 311 256
