task id resource start end time downloaded executed uploaded type
mProjectPP 8 1024 119 1855 1736 282 1014 440 sdbws
mProjectPP 4 1024 101 1878 1777 310 1032 435 sdbws
mProjectPP 3 1024 0 1821 1821 300 1020 501 sdbws
mProjectPP 5 1024 75 1843 1768 260 1038 470 sdbws
mProjectPP 6 1024 100 1942 1842 314 1078 450 sdbws
mProjectPP 9 1024 103 2103 2000 262 1027 711 sdbws
mProjectPP 1 512 53 3042 2989 306 2105 578 sdbws
mDiffFit 18 1024 2110 3056 946 455 124 367 sdbws
mProjectPP 10 512 84 3050 2966 287 2119 560 sdbws
mProjectPP 7 512 72 3142 3070 330 2081 659 sdbws
mProjectPP 2 512 94 3162 3068 317 2078 673 sdbws
mDiffFit 19 512 2171 3538 1367 898 182 287 sdbws
mDiffFit 24 512 2217 3632 1415 708 267 440 sdbws
mDiffFit 21 512 2176 3709 1533 856 342 335 sdbws
mDiffFit 16 512 2038 3632 1594 1052 244 298 sdbws
mDiffFit 14 1024 3359 4266 907 547 111 249 sdbws
mDiffFit 13 512 3217 4492 1275 666 266 343 sdbws
mDiffFit 27 512 3211 4500 1289 760 279 250 sdbws
mDiffFit 17 256 2231 4628 2397 1521 341 535 sdbws
mDiffFit 12 512 3196 4622 1426 973 163 290 sdbws
mDiffFit 25 512 3306 5330 2024 1598 163 263 sdbws
mDiffFit 22 256 3340 5657 2317 1538 504 275 sdbws
mDiffFit 15 512 5277 7662 2385 1750 281 354 sdbws
mDiffFit 23 512 5383 7870 2487 1812 347 328 sdbws
mDiffFit 20 512 5429 8039 2610 1891 380 339 sdbws
mDiffFit 11 512 5400 8113 2713 2040 357 316 sdbws
mDiffFit 26 512 5562 8283 2721 2072 347 302 sdbws
mConcatFit 28 512 10328 11340 1012 374 474 164 sdbws
mBgModel 29 1536 11439 13876 2437 113 2169 155 sdbws
mBackground 30 512 14171 15479 1308 543 200 565 sdbws
mBackground 34 256 14178 15661 1483 596 321 566 sdbws
mBackground 31 256 14270 15768 1498 560 303 635 sdbws
mBackground 38 256 14177 15713 1536 580 322 634 sdbws
mBackground 37 256 14254 15796 1542 580 309 653 sdbws
mBackground 35 256 14242 15801 1559 638 340 581 sdbws
mBackground 32 256 14206 16135 1929 998 341 590 sdbws
mBackground 33 256 14183 16280 2097 1174 303 620 sdbws
mBackground 39 256 14327 17147 2820 1537 522 761 sdbws
