task id resource start end time type
mProjectPP 1 512 63 3078 3013 sdbws 
mProjectPP 2 512 71 3119 3045 sdbws 
mProjectPP 3 1024 36 1830 1849 sdbws 
mProjectPP 4 1024 51 2028 1866 sdbws 
mProjectPP 5 1024 20 1892 1853 sdbws 
mProjectPP 6 1024 49 1815 1918 sdbws 
mProjectPP 7 512 46 3030 3051 sdbws 
mProjectPP 8 1024 70 1973 1824 sdbws 
mProjectPP 9 1024 69 1909 1874 sdbws 
mProjectPP 10 512 69 3004 2997 sdbws 
mDiffFit 11 512 3753 5453 1716 sdbws 
mDiffFit 12 512 3244 4505 1453 sdbws 
mDiffFit 13 512 3256 4525 1780 sdbws 
mDiffFit 14 1024 3321 4181 957 sdbws 
mDiffFit 15 512 3724 5477 1496 sdbws 
mDiffFit 16 512 2237 3722 1780 sdbws 
mDiffFit 17 256 2181 4580 2600 sdbws 
mDiffFit 18 1024 2177 3308 992 sdbws 
mDiffFit 19 512 2243 3683 1654 sdbws 
mDiffFit 20 512 3648 5287 1626 sdbws 
mDiffFit 21 512 2149 3547 1765 sdbws 
mDiffFit 22 256 3258 5683 2561 sdbws 
mDiffFit 23 512 3633 5176 1620 sdbws 
mDiffFit 24 512 2075 3528 1571 sdbws 
mDiffFit 25 512 3200 4613 1446 sdbws 
mDiffFit 26 512 3704 5444 1865 sdbws 
mDiffFit 27 512 3200 4480 1595 sdbws 
mConcatFit 28 512 6804 7807 993 sdbws 
mBgModel 29 1536 7965 10338 2364 sdbws 
mBackground 30 512 10688 11892 1172 sdbws 
mBackground 31 256 10711 12269 1766 sdbws 
mBackground 32 256 10726 12624 1656 sdbws 
mBackground 33 256 10675 12327 1655 sdbws 
mBackground 34 256 10698 12194 1677 sdbws 
mBackground 35 256 10737 12364 1700 sdbws 
mBackground 36 256 11060 13256 1798 sdbws 
mBackground 37 256 10714 12369 1687 sdbws 
mBackground 38 256 10751 12329 1813 sdbws 
mBackground 39 256 10757 12649 1946 sdbws 
mImgtbl 40 512 13662 15326 1704 sdbws 
mAdd 41 1024 15640 18460 2281 sdbws 
mShrink 42 256 18750 20524 1940 sdbws 
mJPEG 43 256 20780 23171 2505 sdbws 
