task id resource start end time downloaded executed uploaded type
mProjectPP 6 1536 139 1602 1463 302 736 425 1536
mProjectPP 15 1536 45 1527 1482 349 733 400 1536
mProjectPP 2 1536 0 1574 1574 296 797 481 1536
mProjectPP 3 1536 10 1569 1559 337 730 492 1536
mProjectPP 18 1536 122 1619 1497 268 761 468 1536
mProjectPP 36 1536 7 1567 1560 283 752 525 1536
mProjectPP 30 1536 45 1557 1512 312 729 471 1536
mProjectPP 21 1536 92 1594 1502 311 767 424 1536
mProjectPP 13 1536 107 1632 1525 328 749 448 1536
mProjectPP 10 1536 124 1650 1526 339 765 422 1536
mProjectPP 7 1536 113 1670 1557 310 734 513 1536
mProjectPP 4 1536 52 1695 1643 364 768 511 1536
mProjectPP 1 1536 13 1678 1665 349 766 550 1536
mProjectPP 8 1536 114 1760 1646 320 741 585 1536
mProjectPP 28 1536 98 1968 1870 337 779 754 1536
mProjectPP 11 1536 130 2228 2098 288 753 1057 1536
mProjectPP 22 1536 791 2249 1458 423 620 415 1536
mProjectPP 17 1536 792 2391 1599 415 757 427 1536
mProjectPP 93 1536 890 2402 1512 442 630 440 1536
mProjectPP 89 1536 744 2443 1699 452 778 469 1536
mProjectPP 5 1536 826 2404 1578 394 761 423 1536
mProjectPP 99 1536 796 2450 1654 436 777 441 1536
mProjectPP 12 1536 822 2499 1677 474 768 435 1536
mProjectPP 33 1536 867 2424 1557 398 649 510 1536
mProjectPP 44 1536 688 2397 1709 445 766 498 1536
mProjectPP 27 1536 807 2478 1671 389 800 482 1536
mProjectPP 48 1536 858 2476 1618 419 772 427 1536
mProjectPP 37 1536 819 2480 1661 473 770 418 1536
mProjectPP 86 1536 1008 2496 1488 422 631 435 1536
mProjectPP 79 1536 652 2499 1847 526 863 458 1536
mProjectPP 14 1536 837 2490 1653 441 764 448 1536
mProjectPP 26 1536 919 2531 1612 393 779 440 1536
mProjectPP 73 1536 942 2551 1609 431 758 420 1536
mProjectPP 35 1536 818 2520 1702 461 780 461 1536
mProjectPP 23 1536 845 2539 1694 506 781 407 1536
mProjectPP 61 1536 962 2567 1605 426 779 400 1536
mProjectPP 76 1536 1026 2556 1530 470 644 416 1536
mProjectPP 72 1536 1021 2589 1568 485 647 436 1536
mProjectPP 55 1536 879 2554 1675 447 782 446 1536
mProjectPP 16 1536 841 2556 1715 481 782 452 1536
mProjectPP 49 1536 851 2555 1704 493 769 442 1536
mProjectPP 64 1536 1054 2682 1628 455 769 404 1536
mProjectPP 100 1536 1103 2603 1500 471 642 387 1536
mProjectPP 9 1536 755 2508 1753 558 769 426 1536
mProjectPP 81 1536 843 2540 1697 430 773 494 1536
mProjectPP 90 1536 1075 2592 1517 484 629 404 1536
mProjectPP 38 1536 1137 2572 1435 389 628 418 1536
mProjectPP 84 1536 996 2560 1564 488 651 425 1536
mProjectPP 31 1536 829 2568 1739 493 785 461 1536
mProjectPP 60 1536 830 2574 1744 493 789 462 1536
mProjectPP 98 1536 959 2587 1628 422 767 439 1536
mProjectPP 25 1536 899 2635 1736 463 765 508 1536
mProjectPP 68 1536 868 2583 1715 493 813 409 1536
mProjectPP 20 1536 99 2617 2518 400 749 1369 1536
mProjectPP 65 1536 856 2581 1725 420 782 523 1536
mProjectPP 19 1536 883 2642 1759 500 791 468 1536
mProjectPP 32 1536 912 2648 1736 485 775 476 1536
mProjectPP 69 1536 876 2615 1739 421 806 512 1536
mProjectPP 59 1536 934 2668 1734 513 770 451 1536
mProjectPP 96 1536 979 2664 1685 420 616 649 1536
mProjectPP 95 1536 1079 2686 1607 406 774 427 1536
mProjectPP 92 1536 945 2659 1714 482 792 440 1536
mProjectPP 91 1536 910 2634 1724 398 772 554 1536
mProjectPP 85 1536 974 2648 1674 465 774 435 1536
mProjectPP 42 1536 930 2684 1754 436 777 541 1536
mProjectPP 45 1536 1017 2734 1717 493 780 444 1536
mProjectPP 50 1536 1044 2677 1633 410 773 450 1536
mProjectPP 47 1536 915 2695 1780 536 797 447 1536
mProjectPP 63 1536 869 2707 1838 540 779 519 1536
mProjectPP 88 1536 1088 2701 1613 378 802 433 1536
mProjectPP 57 1536 1057 2699 1642 429 769 444 1536
mProjectPP 77 1536 932 2723 1791 460 868 463 1536
mProjectPP 67 1536 1043 2710 1667 501 777 389 1536
mProjectPP 62 1536 983 2723 1740 481 779 480 1536
mProjectPP 58 1536 924 2715 1791 475 776 540 1536
mProjectPP 83 1536 1068 2763 1695 461 766 468 1536
mProjectPP 94 1536 1011 2728 1717 495 626 596 1536
mProjectPP 82 1536 1027 2757 1730 518 773 439 1536
mProjectPP 87 1536 1120 2746 1626 388 777 461 1536
mProjectPP 39 1536 872 2759 1887 422 790 675 1536
mProjectPP 52 1536 1122 2759 1637 464 776 397 1536
mProjectPP 70 1536 1050 2801 1751 532 766 453 1536
mProjectPP 78 1536 1022 2788 1766 508 786 472 1536
mProjectPP 74 1536 896 2632 1736 537 786 413 1536
mProjectPP 66 1536 965 2814 1849 476 771 602 1536
mProjectPP 80 1536 1351 2850 1499 437 635 427 1536
mProjectPP 51 1536 1044 2779 1735 522 778 435 1536
mProjectPP 41 1536 1145 2906 1761 551 768 442 1536
mProjectPP 43 1536 1233 2929 1696 467 774 455 1536
mProjectPP 34 1536 1256 2947 1691 464 793 434 1536
mDiffFit 168 1536 2302 2964 662 390 50 222 1536
mProjectPP 29 1536 1227 2988 1761 468 780 513 1536
mProjectPP 40 1536 1274 2946 1672 418 759 495 1536
mProjectPP 71 1536 1199 2928 1729 446 776 507 1536
mDiffFit 108 1536 2323 3032 709 421 58 230 1536
mDiffFit 109 1536 2336 3050 714 365 83 266 1536
mProjectPP 46 1536 1349 3059 1710 483 788 439 1536
mDiffFit 103 1536 2325 3006 681 370 70 241 1536
mDiffFit 142 1536 2315 3052 737 412 71 254 1536
mDiffFit 141 1536 2312 2997 685 383 53 249 1536
mDiffFit 102 1536 2318 3059 741 423 62 256 1536
mProjectPP 56 1536 1036 3034 1998 611 781 606 1536
mDiffFit 119 1536 2287 3015 728 352 89 287 1536
mDiffFit 101 1536 2333 3119 786 407 96 283 1536
mDiffFit 107 1536 2292 3084 792 475 84 233 1536
mDiffFit 133 1536 2361 3106 745 440 63 242 1536
mDiffFit 114 1536 2350 3090 740 442 59 239 1536
